,DDOG
% Above Low,0.12630000000000002
% Held by Institutions,0.79
52-Wk Range,['66.45 - 187.70']
Annual Dividend $,
Annual Dividend %,
Ask,74.84
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,74.51
Bid Size,200.0
Closing Price,74.84
Day Change $,-0.47
Day Change %,-0.0062
Day High,75.05
Day Low,72.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.7590000000000001
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,23.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,75.31
Short Interest,0.0404
Today's Open,74.67
Volume,3334587.0
Volume 10-day Avg,5060379.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0786516853932584
Growth 2yr High Est,0.7346938775510203
Growth 2yr Consensus Est,0.40667278147213937
Growth 5yr Low Est,0.0786516853932584
Growth 5yr High Est,0.7346938775510203
Growth 5yr Consensus Est,0.40667278147213937
Growth 5yr Actual/Est,-5.159158549783551
Growth 3yr Historic,-5.454545454545455
Price/Earnings (TTM),
Price/Sales (TTM),15.51419
Price/Book (MRQ),18.42937
Price/Cash Flow (TTM),1337.734
5yr Low,27.55
5yr High,199.68
5yr Avg Return,0.433825
Short Int Current Month,10468200.0
Short Int Prev Month,12502624.0
Short Int Pct of Float,0.040373599999999996
Days to Cover,1.60884
Float,263.5314
Shares Outstanding,317.5598
Institutions Holding Shares,944.0
FCF Growth 5yr,0.11157565866006691
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.793
Operating Profit Margin (TTM),-0.0102
Net Profit Margin (TTM),-0.0091
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.3052
EPS Growth (TTM),0.6764
Revenue Growth (MRQ),0.0748
Revenue Growth (TTM),0.7406
Return On Equity (TTM),-0.0124
Return On Assets (TTM),-0.005600000000000001
Return On Investment (TTM),-0.0072
Revenue Per Employee (TTM),478718.0
Total Debt/Total Capital (MRQ),0.364
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2020-11-11 00:00:00
cfra since,2022-06-15 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2020-11-11 00:00:00
marketEdge opinion since,
