,DDOG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),15.51,9.39,Valuation,1.6517571884984024
Price/Book (MRQ),18.43,12.63,Valuation,1.459224069675376
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.793,0.7206,Profitability,1.1004718290313629
Operating Profit Margin (TTM),-0.0102,0.2172,Profitability,-0.046961325966850834
Net Profit Margin (TTM),-0.0091,0.1553,Profitability,-0.058596265292981335
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-4.3052,-0.0752,Gowth rates,57.25
EPS Growth (TTM),0.6764,-0.2824,Gowth rates,-2.3951841359773374
Revenue Growth (MRQ),0.0748,0.15560000000000002,Gowth rates,0.480719794344473
Revenue Growth (TTM),0.7406,0.1906,Gowth rates,3.8856243441762857
Return On Equity (TTM),-0.0124,0.2189,Effectiveness,-0.05664687071722247
Return On Assets (TTM),-0.005600000000000001,0.10740000000000001,Effectiveness,-0.0521415270018622
Return On Investment (TTM),-0.0072,0.1387,Effectiveness,-0.05191059841384283
Revenue Per Employee (TTM),478718.0,667721.0,Effectiveness,0.7169431544013143
Total Debt/Total Capital (MRQ),0.364,0.39659999999999995,Financial strength,0.9178013111447303
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.0004,Financial strength,-5.249999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
