,A
% Below High,0.0348
% Held by Institutions,0.893
52-Wk Range,['112.52 - 162.62']
Annual Dividend $,0.9
Annual Dividend %,0.005699999999999999
Ask,156.96
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.1
Bid,152.4
Bid Size,500.0
Closing Price,156.96
Day Change $,1.61
Day Change %,0.0104
Day High,156.96
Day Low,154.71
Dividend Pay Date,2023-01-25 00:00:00
"EPS (TTM, GAAP)",4.18
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.35000000000000003
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,46.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.55
Prev Close,155.35
Short Interest,0.0098
Today's Open,155.09
Volume,642657.0
Volume 10-day Avg,1531121.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.13447432762836176
Growth 1yr High Est,0.15686274509803932
Growth 1yr Consensus Est,0.14566853636320054
Growth 2yr Low Est,0.11249578450383602
Growth 2yr High Est,0.12758391492190102
Growth 2yr Consensus Est,0.12003984971286852
Growth 5yr Low Est,0.1361843692628874
Growth 5yr High Est,0.1776918659138037
Growth 5yr Consensus Est,0.15693811758834555
Growth 5yr Actual/Est,0.1769000560004394
Growth 3yr Historic,0.13148392716646062
Price/Earnings (TTM),37.55455
Price/Sales (TTM),6.76157
Price/Book (MRQ),8.75462
Price/Cash Flow (TTM),29.47371
5yr Low,60.42
5yr High,179.57
5yr Avg Return,0.15998333333333328
EPS Growth 5yr,0.1478035
Revenue Growth 5yr,0.0889612
Dividend Growth 5yr,0.100275
Short Int Current Month,2889384.0
Short Int Prev Month,2893740.0
Short Int Pct of Float,0.0098294
Days to Cover,2.27041
Float,294.175
Shares Outstanding,295.0
Institutions Holding Shares,1333.0
FCF Growth 5yr,0.8053549503619079
"Price/Earnings (TTM, GAAP)",37.55
"PEG Ratio (TTM, GAAP)",3.02
Gross Profit Margin (TTM),0.5435
Operating Profit Margin (TTM),0.23629999999999998
Net Profit Margin (TTM),0.18309999999999998
Annual Dividend Yield,0.005699999999999999
Dividend Change %,0.08140000000000001
"Dividend Growth Rate, 3 Years",0.0873
EPS Growth (MRQ),0.1223
EPS Growth (TTM),0.0613
Revenue Growth (MRQ),0.0763
Revenue Growth (TTM),0.0837
Return On Equity (TTM),0.2349
Return On Assets (TTM),0.1182
Return On Investment (TTM),0.1421
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.3436
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),27.56
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-06 00:00:00
cfra since,2021-08-18 00:00:00
ford since,2022-05-06 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2016-03-28 00:00:00
