,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2022
high,70.93,75.12,85.68,120.24,179.57,159.44,,,,,,
low,65.6,60.42,62.0,61.13,112.47,112.52,,,,,,
change,-0.0325,0.0006,0.2829,0.37939999999999996,0.3423,-0.0128,,,,,,
Date,,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,,1484.0,1113.0,1186.0,1071.0,Balance Sheet,
Short Term Investments,,,,,,,91.0,45.0,21.0,6.0,Balance Sheet,
Cash and Short Term Invs,,,,,,,1575.0,1158.0,1207.0,1077.0,Balance Sheet,
"Total Receivables, Net",,,,,,,1172.0,1205.0,1237.0,1345.0,Balance Sheet,
Invent. - Finished Goods,,,,,,,463.0,488.0,518.0,545.0,Balance Sheet,
Invent. - Raw Materials,,,,,,,367.0,391.0,419.0,465.0,Balance Sheet,
Total Inventory,,,,,,,830.0,879.0,937.0,1010.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,222.0,232.0,262.0,258.0,Balance Sheet,
Total Current Assets,,,,,,,3799.0,3474.0,3643.0,3690.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,1123.0,1144.0,1172.0,1212.0,Balance Sheet,
"Goodwill, Net",,,,,,,3975.0,3964.0,3956.0,3948.0,Balance Sheet,
Intangibles - Gross,,,,,,,2325.0,2319.0,2338.0,2334.0,Balance Sheet,
Accum. Intangible Amort.,,,,,,,-1344.0,-1390.0,-1440.0,-1485.0,Balance Sheet,
Intangibles - Net,,,,,,,981.0,929.0,898.0,849.0,Balance Sheet,
Long Term Investments,,,,,,,185.0,191.0,190.0,194.0,Balance Sheet,
Other Long Term Assets,,,,,,,636.0,622.0,594.0,589.0,Balance Sheet,
Total Assets,,,,,,,10705.0,10327.0,10455.0,10484.0,Balance Sheet,
Accounts Payable,,,,,,,446.0,475.0,503.0,558.0,Balance Sheet,
Accrued Expenses,,,,,,,821.0,616.0,624.0,666.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,175.0,180.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,441.0,493.0,511.0,498.0,Balance Sheet,
Total Current Liabilities,,,,,,,1708.0,1584.0,1813.0,1902.0,Balance Sheet,
Total Long Term Debt,,,,,,,2729.0,2730.0,2730.0,2732.0,Balance Sheet,
Total Debt,,,,,,,2729.0,2730.0,2905.0,2912.0,Balance Sheet,
Pension Benefits - Underfunded,,,,,,,220.0,206.0,187.0,176.0,Balance Sheet,
Other LT Liabilities,,,,,,,659.0,653.0,603.0,583.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,879.0,859.0,790.0,759.0,Balance Sheet,
Total Liabilities,,,,,,,5316.0,5173.0,5333.0,5393.0,Balance Sheet,
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,5320.0,5290.0,5292.0,5311.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,348.0,159.0,160.0,139.0,Balance Sheet,
