,ESMT
% Above Low,0.09910000000000001
% Held by Institutions,0.9013
52-Wk Range,['15.64 - 25.26']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,100.0
B/A Ratio,33.0
B/A Size,3300x100
Beta,
Bid,15.37
Bid Size,3300.0
Closing Price,17.19
Day Change $,0.12
Day Change %,0.006999999999999999
Day High,17.28
Day Low,17.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.5579999999999999
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",197.38
Prev Close,17.07
Short Interest,0.056600000000000004
Today's Open,17.14
Volume,105135.0
Volume 10-day Avg,512789.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.19047619047619035
Growth 2yr High Est,0.0714285714285714
Growth 2yr Consensus Est,-0.05952380952380948
Growth 5yr Low Est,-0.19047619047619035
Growth 5yr High Est,0.0714285714285714
Growth 5yr Consensus Est,-0.05952380952380948
Growth 5yr Actual/Est,0.4807692307692307
Growth 3yr Historic,0.0
Price/Earnings (TTM),197.382
Price/Sales (TTM),10.1004
Price/Book (MRQ),3.57758
Price/Cash Flow (TTM),85.34248
5yr Low,15.64
5yr High,38.83
5yr Avg Return,-0.32144999999999996
Short Int Current Month,1528560.0
Short Int Prev Month,1744186.0
Short Int Pct of Float,0.0565747
Days to Cover,2.15527
Float,153.5829
Shares Outstanding,165.482
Institutions Holding Shares,132.0
FCF Growth 5yr,3.846799019699555
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",197.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7583
Operating Profit Margin (TTM),0.0388
Net Profit Margin (TTM),0.0524
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0174
EPS Growth (TTM),2.7960000000000003
Revenue Growth (MRQ),0.0668
Revenue Growth (TTM),0.4106
Return On Equity (TTM),0.0191
Return On Assets (TTM),0.0176
Return On Investment (TTM),0.018600000000000002
Revenue Per Employee (TTM),356953.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),38.99
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-18 00:00:00
researchTeam since,2022-11-18 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
