,CRUS
% Above Low,0.2126
% Held by Institutions,0.9438
52-Wk Range,['61.94 - 95.84']
Annual Dividend $,
Annual Dividend %,
Ask,77.2
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.0
Bid,75.11
Bid Size,200.0
Closing Price,75.11
Day Change $,-1.82
Day Change %,-0.023700000000000002
Day High,76.77
Day Low,74.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.01
Ex-dividend Date,No dividend
Historical Volatility,0.387
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.49
Prev Close,76.93
Short Interest,0.0316
Today's Open,76.36
Volume,180954.0
Volume 10-day Avg,417382.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.2592592592592593
Growth 1yr High Est,0.28270042194092815
Growth 1yr Consensus Est,0.2709798406000937
Growth 2yr Low Est,0.14001025246699994
Growth 2yr High Est,0.23756731623362193
Growth 2yr Consensus Est,0.18878878435031093
Growth 5yr Low Est,0.13787216224458032
Growth 5yr High Est,0.17185271182525086
Growth 5yr Consensus Est,0.1548624370349156
Growth 5yr Actual/Est,0.14959106300115682
Growth 3yr Historic,0.16360497313151878
Price/Earnings (TTM),12.49274
Price/Sales (TTM),2.09659
Price/Book (MRQ),2.51602
Price/Cash Flow (TTM),9.86946
5yr Low,31.25
5yr High,103.25
5yr Avg Return,0.1683
EPS Growth 5yr,0.0705419
Revenue Growth 5yr,0.029700400000000002
Dividend Growth 5yr,
Short Int Current Month,1733880.0
Short Int Prev Month,2101984.0
Short Int Pct of Float,0.0316407
Days to Cover,2.3873
Float,54.87115
Shares Outstanding,55.0606
Institutions Holding Shares,450.0
FCF Growth 5yr,-0.5063508027747152
"Price/Earnings (TTM, GAAP)",12.49
"PEG Ratio (TTM, GAAP)",2.55
Gross Profit Margin (TTM),0.5182
Operating Profit Margin (TTM),0.21420000000000003
Net Profit Margin (TTM),0.1779
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2106000000000001
EPS Growth (TTM),0.4847
Revenue Growth (MRQ),0.37329999999999997
Revenue Growth (TTM),0.2956
Return On Equity (TTM),0.2248
Return On Assets (TTM),0.15990000000000001
Return On Investment (TTM),0.19460000000000002
Revenue Per Employee (TTM),1239808.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.8
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2019-05-01 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-08-05 00:00:00
