,CRUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.49,20.56,Valuation,0.6074902723735409
Price/Sales (TTM),2.1,7.41,Valuation,0.2834008097165992
Price/Book (MRQ),2.52,13.13,Valuation,0.19192688499619193
"PEG Ratio (TTM, GAAP)",2.55,0.9,Valuation,2.833333333333333
Gross Profit Margin (TTM),0.5182,0.5489,Profitability,0.9440699580980141
Operating Profit Margin (TTM),0.21420000000000003,0.25739999999999996,Profitability,0.8321678321678324
Net Profit Margin (TTM),0.1779,0.2224,Profitability,0.7999100719424461
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),1.2106000000000001,1.5356,Gowth rates,0.7883563427976036
EPS Growth (TTM),0.4847,0.2274,Gowth rates,2.131486367634125
Revenue Growth (MRQ),0.37329999999999997,0.1335,Gowth rates,2.7962546816479397
Revenue Growth (TTM),0.2956,0.24170000000000003,Gowth rates,1.2230037236243274
Return On Equity (TTM),0.2248,0.36920000000000003,Effectiveness,0.6088840736728061
Return On Assets (TTM),0.15990000000000001,0.16010000000000002,Effectiveness,0.9987507807620237
Return On Investment (TTM),0.19460000000000002,0.1925,Effectiveness,1.010909090909091
Revenue Per Employee (TTM),1239808.0,898550.0,Effectiveness,1.3797874353124477
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),2.8,2.24,Financial strength,1.2499999999999998
Interest Coverage (MRQ),,15.8,Financial strength,
