,AXL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",388.04,35.21,Valuation,11.02073274637887
Price/Sales (TTM),0.21,3.92,Valuation,0.05357142857142857
Price/Book (MRQ),2.44,4.78,Valuation,0.5104602510460251
"PEG Ratio (TTM, GAAP)",54.27,11.27,Valuation,4.815439219165928
Gross Profit Margin (TTM),0.1201,0.13140000000000002,Profitability,0.9140030441400303
Operating Profit Margin (TTM),0.0373,-0.2583,Profitability,-0.14440572977158345
Net Profit Margin (TTM),0.0007000000000000001,-0.20260000000000003,Profitability,-0.0034550839091806516
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.3011,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0053,Dividend,
EPS Growth (MRQ),0.1518,1.995,Gowth rates,0.07609022556390976
EPS Growth (TTM),-0.9647,-0.031200000000000002,Gowth rates,30.919871794871792
Revenue Growth (MRQ),0.0674,0.269,Gowth rates,0.25055762081784383
Revenue Growth (TTM),0.0533,0.1174,Gowth rates,0.4540034071550255
Return On Equity (TTM),0.0083,0.08130000000000001,Effectiveness,0.1020910209102091
Return On Assets (TTM),0.0007000000000000001,0.0258,Effectiveness,0.027131782945736437
Return On Investment (TTM),0.0009,0.0425,Effectiveness,0.021176470588235293
Revenue Per Employee (TTM),313600.0,214262.0,Effectiveness,1.463628641569667
Total Debt/Total Capital (MRQ),0.8602,0.38280000000000003,Financial strength,2.247126436781609
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.2187,Financial strength,-0.002286236854138089
Quick Ratio (MRQ),1.32,1.64,Financial strength,0.8048780487804879
Interest Coverage (MRQ),1.76,46.02,Financial strength,0.03824424163407214
