,CNNE
% Above Low,0.3503
% Held by Institutions,0.8551000000000001
52-Wk Range,['17.12 - 36.50']
Annual Dividend $,
Annual Dividend %,
Ask,42.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,23.11
Day Change $,0.05
Day Change %,0.0022
Day High,23.19
Day Low,22.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.56
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,23.06
Short Interest,0.0212
Today's Open,22.86
Volume,360890.0
Volume 10-day Avg,877802.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7448630136986301
Growth 2yr High Est,-1.1031128404669261
Growth 2yr Consensus Est,-0.9239879270827781
Growth 5yr Low Est,-0.7448630136986301
Growth 5yr High Est,-1.1031128404669261
Growth 5yr Consensus Est,-0.9239879270827781
Growth 5yr Actual/Est,2.34229762959762
Growth 3yr Historic,2.4147652116402116
Price/Earnings (TTM),
Price/Sales (TTM),2.61957
Price/Book (MRQ),0.66529
Price/Cash Flow (TTM),
5yr Low,15.87
5yr High,46.57
5yr Avg Return,0.12548333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0883132
Dividend Growth 5yr,
Short Int Current Month,1540276.0
Short Int Prev Month,1534050.0
Short Int Pct of Float,0.02116
Days to Cover,2.52936
Float,72.79193
Shares Outstanding,78.02029
Institutions Holding Shares,261.0
FCF Growth 5yr,0.6341828924943068
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1443
Operating Profit Margin (TTM),-0.233
Net Profit Margin (TTM),-0.5851
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2203
EPS Growth (TTM),-2.7121
Revenue Growth (MRQ),-0.057300000000000004
Revenue Growth (TTM),-0.057999999999999996
Return On Equity (TTM),-0.1814
Return On Assets (TTM),-0.1075
Return On Investment (TTM),-0.1127
Revenue Per Employee (TTM),53200.0
Total Debt/Total Capital (MRQ),0.0384
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-07-09 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-10 00:00:00
theStreet since,
