,CBRE
% Above Low,0.1654
% Held by Institutions,0.9741
52-Wk Range,['66.31 - 111.00']
Annual Dividend $,
Annual Dividend %,
Ask,85.44
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,66.5
Bid Size,200.0
Closing Price,77.28
Day Change $,0.5
Day Change %,0.006500000000000001
Day High,77.64
Day Low,76.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.05
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),8000.0
Last (time),5:00p ET 11/25/22
Market Cap,24.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.76
Prev Close,76.78
Short Interest,0.014499999999999999
Today's Open,76.47
Volume,589000.0
Volume 10-day Avg,1397597.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.09780439121756501
Growth 1yr High Est,0.03423423423423433
Growth 1yr Consensus Est,0.06601931272589967
Growth 2yr Low Est,-0.08837053166394476
Growth 2yr High Est,0.05196032269202999
Growth 2yr Consensus Est,-0.018205104485957385
Growth 5yr Low Est,0.043415812335143494
Growth 5yr High Est,0.14401729662452956
Growth 5yr Consensus Est,0.09371655447983653
Growth 5yr Actual/Est,0.12532835272734769
Growth 3yr Historic,0.12784275905272965
Price/Earnings (TTM),12.76313
Price/Sales (TTM),0.78298
Price/Book (MRQ),3.08752
Price/Cash Flow (TTM),9.22627
5yr Low,29.17
5yr High,111.0
5yr Avg Return,0.15598333333333333
EPS Growth 5yr,0.2613271
Revenue Growth 5yr,0.0982082
Dividend Growth 5yr,
Short Int Current Month,4555812.0
Short Int Prev Month,4524732.0
Short Int Pct of Float,0.0145478
Days to Cover,2.35674
Float,314.531
Shares Outstanding,315.9485
Institutions Holding Shares,1046.0
FCF Growth 5yr,-7.095503990868281
"Price/Earnings (TTM, GAAP)",12.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.22
Operating Profit Margin (TTM),0.0596
Net Profit Margin (TTM),0.0651
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.06910000000000001
EPS Growth (TTM),0.41009999999999996
Revenue Growth (MRQ),-0.0311
Revenue Growth (TTM),0.1945
Return On Equity (TTM),0.2539
Return On Assets (TTM),0.1017
Return On Investment (TTM),0.172
Revenue Per Employee (TTM),296990.0
Total Debt/Total Capital (MRQ),0.2616
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2022-06-24 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-09-23 00:00:00
