,CBRE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.76,-128.31,Valuation,-0.099446652638142
Price/Sales (TTM),0.78,1.78,Valuation,0.43820224719101125
Price/Book (MRQ),3.09,2.29,Valuation,1.3493449781659388
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.22,0.2696,Profitability,0.8160237388724035
Operating Profit Margin (TTM),0.0596,-0.2328,Profitability,-0.25601374570446733
Net Profit Margin (TTM),0.0651,-0.1213,Profitability,-0.5366859027205276
Annual Dividend Yield,,0.0044,Dividend,
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-0.06910000000000001,1.0171,Gowth rates,-0.06793825582538592
EPS Growth (TTM),0.41009999999999996,0.7006,Gowth rates,0.5853554096488723
Revenue Growth (MRQ),-0.0311,0.16149999999999998,Gowth rates,-0.19256965944272447
Revenue Growth (TTM),0.1945,0.44439999999999996,Gowth rates,0.4376687668766877
Return On Equity (TTM),0.2539,0.0932,Effectiveness,2.7242489270386265
Return On Assets (TTM),0.1017,0.0415,Effectiveness,2.450602409638554
Return On Investment (TTM),0.172,0.0722,Effectiveness,2.3822714681440442
Revenue Per Employee (TTM),296990.0,1051798.0,Effectiveness,0.28236410413406376
Total Debt/Total Capital (MRQ),0.2616,0.5311,Financial strength,0.4925626059122576
Change in Debt/Total Capital Quarter over Quarter,-0.0011,-0.0005,Financial strength,2.2
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),,3.44,Financial strength,
