,ITCI
% Below High,0.2086
% Held by Institutions,0.9305
52-Wk Range,['34.43 - 66.00']
Annual Dividend $,
Annual Dividend %,
Ask,54.6
Ask Size,1200.0
B/A Ratio,1.5833333333333333
B/A Size,1900x1200
Beta,1.2
Bid,51.3
Bid Size,1900.0
Closing Price,52.23
Day Change $,1.04
Day Change %,0.0203
Day High,52.37
Day Low,51.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.32
Ex-dividend Date,No dividend
Historical Volatility,0.588
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,51.19
Short Interest,0.0344
Today's Open,51.27
Volume,145936.0
Volume 10-day Avg,564176.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.11931818181818177
Growth 1yr High Est,-0.17168674698795172
Growth 1yr Consensus Est,-0.14550246440306674
Growth 2yr Low Est,-0.12417521994134895
Growth 2yr High Est,-0.5694797371303395
Growth 2yr Consensus Est,-0.3468274785358442
Growth 5yr Low Est,-0.007270026717392353
Growth 5yr High Est,-0.21996611931974958
Growth 5yr Consensus Est,-0.11361807301857095
Growth 5yr Actual/Est,-0.07885274465245645
Growth 3yr Historic,0.07220380296659118
Price/Earnings (TTM),
Price/Sales (TTM),26.29466
Price/Book (MRQ),7.21638
Price/Cash Flow (TTM),
5yr Low,6.75
5yr High,66.0
5yr Avg Return,0.3942666666666667
EPS Growth 5yr,
Revenue Growth 5yr,2.025277
Dividend Growth 5yr,
Short Int Current Month,3175894.0
Short Int Prev Month,4057793.0
Short Int Pct of Float,0.0344307
Days to Cover,3.52163
Float,92.23024
Shares Outstanding,94.70505
Institutions Holding Shares,372.0
FCF Growth 5yr,0.25289667210547934
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9139
Operating Profit Margin (TTM),-1.6066
Net Profit Margin (TTM),-1.5838999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3837
EPS Growth (TTM),-0.0366
Revenue Growth (MRQ),0.29309999999999997
Revenue Growth (TTM),1.665
Return On Equity (TTM),-0.5084000000000001
Return On Assets (TTM),-0.4451
Return On Investment (TTM),-0.4918
Revenue Per Employee (TTM),367414.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),9.51
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
theStreet since,2020-03-29 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
