,ITCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),26.29,18.12,Valuation,1.4508830022075054
Price/Book (MRQ),7.22,11.52,Valuation,0.6267361111111112
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.9139,0.6774,Profitability,1.349129022733983
Operating Profit Margin (TTM),-1.6066,-0.8243,Profitability,1.9490476768166929
Net Profit Margin (TTM),-1.5838999999999999,-0.8643000000000001,Profitability,1.83258127964827
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.3837,0.0882,Gowth rates,4.350340136054421
EPS Growth (TTM),-0.0366,0.5872999999999999,Gowth rates,-0.062319087348884736
Revenue Growth (MRQ),0.29309999999999997,0.0441,Gowth rates,6.64625850340136
Revenue Growth (TTM),1.665,0.17600000000000002,Gowth rates,9.460227272727272
Return On Equity (TTM),-0.5084000000000001,0.3019,Effectiveness,-1.684001324942034
Return On Assets (TTM),-0.4451,0.09210000000000002,Effectiveness,-4.832790445168294
Return On Investment (TTM),-0.4918,0.1384,Effectiveness,-3.553468208092486
Revenue Per Employee (TTM),367414.0,1426391.0,Effectiveness,0.2575829488548371
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),9.51,1.22,Financial strength,7.795081967213115
Interest Coverage (MRQ),,26.1,Financial strength,
