,POR
% Above Low,0.168
% Held by Institutions,0.9797
52-Wk Range,['41.58 - 57.03']
Annual Dividend $,1.81
Annual Dividend %,0.0371
Ask,48.58
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.6
Bid,48.55
Bid Size,200.0
Day Change $,-0.235
Day Change %,-0.0048
Day High,48.76
Day Low,47.94
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",2.77
Ex-dividend,2022-12-23 00:00:00
Ex-dividend Date,12/23/22
Historical Volatility,0.24100000000000002
Last (size),100.0
Last (time),11:16a ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.61
Prev Close,48.8
Price,48.57
Short Interest,0.0928
Today's Open,48.41
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.011152416356877248
Growth 1yr High Est,0.021505376344086002
Growth 1yr Consensus Est,0.005176479993604377
Growth 2yr Low Est,-0.013095005170919827
Growth 2yr High Est,0.03531409168081501
Growth 2yr Consensus Est,0.01110954325494759
Growth 5yr Low Est,0.028410124533184172
Growth 5yr High Est,0.05351770157811242
Growth 5yr Consensus Est,0.040963913055648296
Growth 5yr Actual/Est,0.07811474933966489
Growth 3yr Historic,0.07526515520093416
Price/Earnings (TTM),17.60722
Price/Sales (TTM),1.69646
Price/Book (MRQ),1.57841
Price/Cash Flow (TTM),6.63092
5yr Low,31.96
5yr High,63.08
5yr Avg Return,0.01343333333333333
EPS Growth 5yr,0.0466693
Revenue Growth 5yr,0.044964399999999995
Dividend Growth 5yr,0.0614214
Short Int Current Month,8237904.0
Short Int Prev Month,7714671.0
Short Int Pct of Float,0.0928133
Days to Cover,9.50518
Float,88.83104
Shares Outstanding,89.2729
Institutions Holding Shares,471.0
FCF Growth 5yr,-0.728152618971763
"Price/Earnings (TTM, GAAP)",17.61
"PEG Ratio (TTM, GAAP)",12.62
Gross Profit Margin (TTM),0.5142
Operating Profit Margin (TTM),0.16
Net Profit Margin (TTM),0.0966
Annual Dividend Yield,0.0371
Dividend Change %,0.071
"Dividend Growth Rate, 3 Years",0.05940000000000001
EPS Growth (MRQ),-0.0945
EPS Growth (TTM),0.0805
Revenue Growth (MRQ),0.2572
Revenue Growth (TTM),0.0956
Return On Equity (TTM),0.0913
Return On Assets (TTM),0.0256
Return On Investment (TTM),0.028300000000000002
Revenue Per Employee (TTM),904544.0
Total Debt/Total Capital (MRQ),0.569
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),2.63
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2022-10-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
