,BRY
% Above Low,0.3289
% Held by Institutions,0.9751000000000001
52-Wk Range,['6.78 - 12.85']
Annual Dividend $,0.24
Annual Dividend %,0.026600000000000002
Ask,9.68
Ask Size,2000.0
B/A Ratio,0.8
B/A Size,1600x2000
Beta,2.3
Bid,8.25
Bid Size,1600.0
Closing Price,9.01
Day Change $,0.19
Day Change %,0.0215
Day High,9.09
Day Low,8.92
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.26
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.5670000000000001
Last (size),37.0
Last (time),12:59p ET 11/25/22
Market Cap,690.1M
"P/E Ratio (TTM, GAAP)",3.98
Prev Close,8.82
Short Interest,0.0287
Today's Open,8.92
Volume,192515.0
Volume 10-day Avg,583580.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,5.913043478260869
Growth 1yr High Est,5.470588235294118
Growth 1yr Consensus Est,5.6918158567774935
Growth 2yr Low Est,2.8370248837845224
Growth 2yr High Est,2.705748663101604
Growth 2yr Consensus Est,2.771386773443063
Growth 5yr Low Est,1.211745524599028
Growth 5yr High Est,1.1644685344493528
Growth 5yr Consensus Est,1.1881070295241904
Growth 5yr Actual/Est,1.4163661229427562
Growth 3yr Historic,-0.28468915343915346
Price/Earnings (TTM),3.98479
Price/Sales (TTM),0.74235
Price/Book (MRQ),0.89916
Price/Cash Flow (TTM),2.01497
5yr Low,1.82
5yr High,18.55
5yr Avg Return,0.20273333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.0580468
Dividend Growth 5yr,
Short Int Current Month,2162048.0
Short Int Prev Month,2149864.0
Short Int Pct of Float,0.0286535
Days to Cover,2.68438
Float,75.64066
Shares Outstanding,76.768
Institutions Holding Shares,204.0
FCF Growth 5yr,0.4558661678473159
"Price/Earnings (TTM, GAAP)",3.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5294
Operating Profit Margin (TTM),0.24710000000000001
Net Profit Margin (TTM),0.20070000000000002
Annual Dividend Yield,0.026600000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.4731
EPS Growth (TTM),3.0432
Revenue Growth (MRQ),0.4872
Revenue Growth (TTM),1.3397000000000001
Return On Equity (TTM),0.2572
Return On Assets (TTM),0.1266
Return On Investment (TTM),0.1448
Revenue Per Employee (TTM),761229.0
Total Debt/Total Capital (MRQ),0.3395
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-05 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
theStreet since,2022-11-03 00:00:00
newConstructs since,
marketEdge opinion since,
