,THS
% Below High,0.041299999999999996
% Held by Institutions,1.0405
52-Wk Range,['29.47 - 51.04']
Annual Dividend $,
Annual Dividend %,
Ask,77.98
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.5
Bid,32.0
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,48.93
Day Change $,0.04
Day Change %,0.0008
Day High,49.32
Day Low,48.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,0.392
Last (size),79.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.89
Short Interest,0.0225
Today's Open,48.71
Volume,277087.0
Volume 10-day Avg,340740.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.6555555555555556
Growth 1yr High Est,-0.56
Growth 1yr Consensus Est,-0.6077777777777778
Growth 2yr Low Est,0.489426523297491
Growth 2yr High Est,0.4555371900826448
Growth 2yr Consensus Est,0.4724818566900679
Growth 5yr Low Est,0.28194730420193703
Growth 5yr High Est,0.2549863369768063
Growth 5yr Consensus Est,0.26846682058937166
Growth 5yr Actual/Est,0.27232933021457895
Growth 3yr Historic,-0.12835456036292855
Price/Earnings (TTM),
Price/Sales (TTM),0.75665
Price/Book (MRQ),1.59926
Price/Cash Flow (TTM),25.34076
5yr Low,29.47
5yr High,67.88
5yr Avg Return,0.021233333333333337
EPS Growth 5yr,
Revenue Growth 5yr,-0.0686331
Dividend Growth 5yr,
Short Int Current Month,1242780.0
Short Int Prev Month,1278004.0
Short Int Pct of Float,0.0224519
Days to Cover,2.47406
Float,55.37538
Shares Outstanding,56.08244
Institutions Holding Shares,313.0
FCF Growth 5yr,-0.22731664918752012
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.141
Operating Profit Margin (TTM),-0.051500000000000004
Net Profit Margin (TTM),-0.0235
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.606
EPS Growth (TTM),-2.4354
Revenue Growth (MRQ),0.9805
Revenue Growth (TTM),-0.09140000000000001
Return On Equity (TTM),-0.0477
Return On Assets (TTM),-0.0166
Return On Investment (TTM),-0.0211
Revenue Per Employee (TTM),362370.0
Total Debt/Total Capital (MRQ),0.5244
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.23
Interest Coverage (MRQ),0.98
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-25 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
