,TLYS
% Above Low,0.42560000000000003
% Held by Institutions,0.7956
52-Wk Range,['6.65 - 16.95']
Annual Dividend $,
Annual Dividend %,
Ask,10.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,9.44
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,9.48
Day Change $,-0.12
Day Change %,-0.0125
Day High,9.59
Day Low,9.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.2
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),174.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,285.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.99
Prev Close,9.6
Short Interest,0.0378
Today's Open,9.45
Volume,228797.0
Volume 10-day Avg,165233.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8557692307692308
Growth 1yr High Est,-0.8142857142857143
Growth 1yr Consensus Est,-0.8350274725274726
Growth 2yr Low Est,-0.21121794871794874
Growth 2yr High Est,-0.2404761904761905
Growth 2yr Consensus Est,-0.22584706959706963
Growth 5yr Low Est,0.3286015519568151
Growth 5yr High Est,0.25476190476190474
Growth 5yr Consensus Est,0.2916817283593599
Growth 5yr Actual/Est,-13.495511284831673
Growth 3yr Historic,-13.387987012987013
Price/Earnings (TTM),7.99367
Price/Sales (TTM),0.39889
Price/Book (MRQ),1.68485
Price/Cash Flow (TTM),5.5003
5yr Low,3.46
5yr High,25.46
5yr Avg Return,0.03528333333333335
EPS Growth 5yr,0.3885835
Revenue Growth 5yr,0.0639543
Dividend Growth 5yr,
Short Int Current Month,841285.0
Short Int Prev Month,961237.0
Short Int Pct of Float,0.037755000000000004
Days to Cover,4.56964
Float,22.28277
Shares Outstanding,30.11072
Institutions Holding Shares,136.0
FCF Growth 5yr,-0.4391326462273304
"Price/Earnings (TTM, GAAP)",7.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33520000000000005
Operating Profit Margin (TTM),0.0725
Net Profit Margin (TTM),0.0518
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.8308999999999997
EPS Growth (TTM),-0.1323
Revenue Growth (MRQ),0.15460000000000002
Revenue Growth (TTM),0.0605
Return On Equity (TTM),0.2189
Return On Assets (TTM),0.0713
Return On Investment (TTM),0.10160000000000001
Revenue Per Employee (TTM),499771.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-16 00:00:00
theStreet since,2022-03-17 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
