,TLYS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.99,19.03,Valuation,0.41986337362059906
Price/Sales (TTM),0.4,1.93,Valuation,0.2072538860103627
Price/Book (MRQ),1.68,92.12,Valuation,0.0182370820668693
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.33520000000000005,0.34390000000000004,Profitability,0.9747019482407677
Operating Profit Margin (TTM),0.0725,0.11789999999999999,Profitability,0.6149279050042409
Net Profit Margin (TTM),0.0518,0.0818,Profitability,0.6332518337408313
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),3.8308999999999997,-0.10800000000000001,Gowth rates,-35.47129629629629
EPS Growth (TTM),-0.1323,0.0262,Gowth rates,-5.049618320610687
Revenue Growth (MRQ),0.15460000000000002,0.0478,Gowth rates,3.2343096234309625
Revenue Growth (TTM),0.0605,0.0874,Gowth rates,0.6922196796338672
Return On Equity (TTM),0.2189,5.2054,Effectiveness,0.04205248395896569
Return On Assets (TTM),0.0713,0.1562,Effectiveness,0.45646606914212545
Return On Investment (TTM),0.10160000000000001,0.26,Effectiveness,0.3907692307692308
Revenue Per Employee (TTM),499771.0,410011.0,Effectiveness,1.218920955779235
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.98,0.39,Financial strength,2.5128205128205128
Interest Coverage (MRQ),,13.36,Financial strength,
