,TEVA
% Above Low,0.2701
% Held by Institutions,0.4697
52-Wk Range,['6.78 - 11.34']
Annual Dividend $,
Annual Dividend %,
Ask,8.63
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.3
Bid,8.57
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,8.61
Day Change $,-0.26
Day Change %,-0.029300000000000003
Day High,8.85
Day Low,8.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.17
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),103.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,9.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,8.87
Short Interest,0.027999999999999997
Today's Open,8.78
Volume,6959619.0
Volume 10-day Avg,8599375.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.05581395348837215
Growth 1yr High Est,-0.007633587786259555
Growth 1yr Consensus Est,-0.03172377063731585
Growth 2yr Low Est,0.053373811433153895
Growth 2yr High Est,0.005798590722254804
Growth 2yr Consensus Est,0.02958620107770435
Growth 5yr Low Est,0.011514804267301587
Growth 5yr High Est,0.018970386304594994
Growth 5yr Consensus Est,0.01524259528594829
Growth 5yr Actual/Est,0.012015367047014613
Growth 3yr Historic,0.01868109597924772
Price/Earnings (TTM),
Price/Sales (TTM),0.6439
Price/Book (MRQ),1.12357
Price/Cash Flow (TTM),
5yr Low,6.07
5yr High,25.96
5yr Avg Return,-0.06388333333333335
EPS Growth 5yr,0.3971378
Revenue Growth 5yr,-0.0623118
Dividend Growth 5yr,
Short Int Current Month,30809442.0
Short Int Prev Month,30185588.0
Short Int Pct of Float,0.027963300000000003
Days to Cover,2.38796
Float,1089.629
Shares Outstanding,1110.552
Institutions Holding Shares,563.0
FCF Growth 5yr,-1.2828698370906697
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.493
Operating Profit Margin (TTM),-0.07690000000000001
Net Profit Margin (TTM),-0.08750000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2394
EPS Growth (TTM),-2.7760000000000002
Revenue Growth (MRQ),-0.0504
Revenue Growth (TTM),-0.0672
Return On Equity (TTM),-0.1341
Return On Assets (TTM),-0.0288
Return On Investment (TTM),-0.0395
Revenue Per Employee (TTM),436206.0
Total Debt/Total Capital (MRQ),0.6908
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),3.22
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-10-28 00:00:00
theStreet since,2021-10-28 00:00:00
cfra since,2017-08-03 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
