,TEVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),0.64,18.12,Valuation,0.03532008830022075
Price/Book (MRQ),1.12,11.52,Valuation,0.09722222222222224
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.493,0.6774,Profitability,0.727782698553292
Operating Profit Margin (TTM),-0.07690000000000001,-0.8243,Profitability,0.09329127744753125
Net Profit Margin (TTM),-0.08750000000000001,-0.8643000000000001,Profitability,0.10123799606618072
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),1.2394,0.0882,Gowth rates,14.052154195011338
EPS Growth (TTM),-2.7760000000000002,0.5872999999999999,Gowth rates,-4.7267154776094
Revenue Growth (MRQ),-0.0504,0.0441,Gowth rates,-1.1428571428571428
Revenue Growth (TTM),-0.0672,0.17600000000000002,Gowth rates,-0.3818181818181818
Return On Equity (TTM),-0.1341,0.3019,Effectiveness,-0.4441868168267638
Return On Assets (TTM),-0.0288,0.09210000000000002,Effectiveness,-0.31270358306188917
Return On Investment (TTM),-0.0395,0.1384,Effectiveness,-0.28540462427745666
Revenue Per Employee (TTM),436206.0,1426391.0,Effectiveness,0.3058109592671294
Total Debt/Total Capital (MRQ),0.6908,0.4169,Financial strength,1.6569920844327177
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0,Financial strength,-inf
Quick Ratio (MRQ),0.66,1.22,Financial strength,0.5409836065573771
Interest Coverage (MRQ),3.22,26.1,Financial strength,0.12337164750957855
