,2017,2018,2019,2020,2021,2022,Q4 2020,Q4 2021,Q2 2022,Report,Q1 2022
high,15.9,18.11,14.0,54.5,88.97,79.99,,,,,
low,11.2,5.76,6.05,4.0,27.12,32.09,,,,,
change,0.10039999999999999,-0.6098,0.3453,2.194,0.9069,0.0117,,,,,
Date,,,,,,,2020-06-30 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,,,,18857.0,64245.0,139034.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,59.0,2515.0,4460.0,Balance Sheet,
Total Current Assets,,,,,,,18916.0,66760.0,143494.0,Balance Sheet,
Land/Improvements,,,,,,,689.0,689.0,689.0,Balance Sheet,
Construction in Progress,,,,,,,,,3250.0,Balance Sheet,
Natural Resources,,,,,,,,,49668.0,Balance Sheet,
Other Prop./Plant/Equip.,,,,,,,321.0,168.0,111.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,1010.0,857.0,53717.0,Balance Sheet,
Accumulated Depreciation,,,,,,,-23.0,-44.0,-23.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,8707.0,40116.0,53694.0,Balance Sheet,
Long Term Investments,,,,,,,0.0,58873.0,64234.0,Balance Sheet,
Other Long Term Assets,,,,,,,30.0,4500.0,11625.0,Balance Sheet,
Total Assets,,,,,,,27653.0,170249.0,273046.0,Balance Sheet,
Accounts Payable,,,,,,,791.0,1263.0,1613.0,Balance Sheet,
Accrued Expenses,,,,,,,577.0,5485.0,3991.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,578.0,762.0,505.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,0.0,40.0,30.0,Balance Sheet,
Total Current Liabilities,,,,,,,1946.0,7550.0,6139.0,Balance Sheet,
Total Long Term Debt,,,,,,,1740.0,914.0,349.0,Balance Sheet,
Total Debt,,,,,,,2318.0,1676.0,854.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,164.0,0.0,,Balance Sheet,
Total Liabilities,,,,,,,3850.0,8464.0,6488.0,Balance Sheet,
Common Stock,,,,,,,1.0,2.0,2.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,76188.0,255132.0,378790.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,-51589.0,-92683.0,-111419.0,Balance Sheet,
"Other Equity, Total",,,,,,,-797.0,-666.0,-815.0,Balance Sheet,
Total Equity,,,,,,,23803.0,161785.0,266558.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,27653.0,170249.0,273046.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,10357.0,15894.0,17965.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,,2020-06-30 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00,Income Statement,2022-03-31 00:00:00
Total Revenue,,,,,,,0.0,0.0,0.0,Income Statement,0.0
