,PLL
% Above Low,0.6799
% Held by Institutions,0.46509999999999996
52-Wk Range,['32.09 - 79.99']
Annual Dividend $,
Annual Dividend %,
Ask,53.99
Ask Size,100.0
B/A Ratio,29.0
B/A Size,2900x100
Beta,0.9
Bid,53.9
Bid Size,2900.0
Day Change $,-1.25
Day Change %,-0.0227
Day High,54.92
Day Low,53.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.45
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),197.0
Last (time),10:59a ET 11/28/22
Market Cap,970.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,55.15
Price,53.9
Short Interest,0.11230000000000001
Today's Open,54.27
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8438661710037174
Growth 2yr High Est,-5.8896103896103895
Growth 2yr Consensus Est,-3.3667382803070534
Growth 5yr Low Est,-0.8438661710037174
Growth 5yr High Est,-5.8896103896103895
Growth 5yr Consensus Est,-3.3667382803070534
Growth 5yr Actual/Est,-0.5376341303820719
Growth 3yr Historic,0.0282278481012658
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.71688
Price/Cash Flow (TTM),
5yr Low,4.0
5yr High,88.97
5yr Avg Return,0.4914166666666667
Short Int Current Month,1565129.0
Short Int Prev Month,1820019.0
Short Int Pct of Float,0.1122615
Days to Cover,3.06085
Float,17.4179
Shares Outstanding,18.01023
Institutions Holding Shares,191.0
FCF Growth 5yr,0.6032736492027446
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0609
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.1794
Return On Assets (TTM),-0.1514
Return On Investment (TTM),-0.15560000000000002
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0032
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-102.15
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
