,BKH
% Below High,0.1263
% Held by Institutions,0.898
52-Wk Range,['59.08 - 80.95']
Annual Dividend $,2.5
Annual Dividend %,0.0353
Ask,72.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,58.87
Bid Size,100.0
Closing Price,70.73
Day Change $,0.69
Day Change %,0.009899999999999999
Day High,71.18
Day Low,70.28
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.98
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.256
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.78
Prev Close,70.04
Short Interest,0.036699999999999997
Today's Open,70.43
Volume,121080.0
Volume 10-day Avg,353728.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.07486631016042766
Growth 1yr High Est,0.050761421319796884
Growth 1yr Consensus Est,0.06281386574011227
Growth 2yr Low Est,0.04862718493096019
Growth 2yr High Est,0.04711984109468115
Growth 2yr Consensus Est,0.04787351301282067
Growth 5yr Low Est,0.06267358558553515
Growth 5yr High Est,0.05255289102026389
Growth 5yr Consensus Est,0.05761323830289952
Growth 5yr Actual/Est,0.044878628750541494
Growth 3yr Historic,0.014834547235871798
Price/Earnings (TTM),17.78288
Price/Sales (TTM),1.98158
Price/Book (MRQ),1.59461
Price/Cash Flow (TTM),8.87374
5yr Low,48.07
5yr High,87.12
5yr Avg Return,0.04298333333333333
EPS Growth 5yr,0.0774854
Revenue Growth 5yr,0.0483926
Dividend Growth 5yr,0.0639109
Short Int Current Month,2372778.0
Short Int Prev Month,3072991.0
Short Int Pct of Float,0.0366914
Days to Cover,5.27461
Float,64.68373
Shares Outstanding,65.07826
Institutions Holding Shares,425.0
FCF Growth 5yr,-0.6055385032505817
"Price/Earnings (TTM, GAAP)",17.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.18910000000000002
Net Profit Margin (TTM),0.1158
Annual Dividend Yield,0.0353
Dividend Change %,0.0553
"Dividend Growth Rate, 3 Years",0.0587
EPS Growth (MRQ),0.0438
EPS Growth (TTM),0.0296
Revenue Growth (MRQ),-0.0244
Revenue Growth (TTM),0.2402
Return On Equity (TTM),0.09210000000000002
Return On Assets (TTM),0.029500000000000002
Return On Investment (TTM),0.033
Revenue Per Employee (TTM),805439.0
Total Debt/Total Capital (MRQ),0.6082
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),1.99
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-11 00:00:00
