,RIDE
% Above Low,0.0192
% Held by Institutions,0.2651
52-Wk Range,['1.30 - 4.88']
Annual Dividend $,
Annual Dividend %,
Ask,1.33
Ask Size,9200.0
B/A Ratio,2.782608695652174
B/A Size,25600x9200
Beta,1.1
Bid,1.32
Bid Size,25600.0
Day Change $,-0.005
Day Change %,-0.0038
Day High,1.36
Day Low,1.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.29
Ex-dividend Date,No dividend
Historical Volatility,0.996
Last (size),50.0
Last (time),12:47p ET 11/28/22
Market Cap,305.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.33
Price,1.33
Short Interest,0.18780000000000002
Today's Open,1.31
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1328125
Growth 2yr High Est,0.2272727272727273
Growth 2yr Consensus Est,0.18004261363636365
Growth 5yr Low Est,0.1328125
Growth 5yr High Est,0.2272727272727273
Growth 5yr Consensus Est,0.18004261363636365
Growth 5yr Actual/Est,0.2944639902724898
Growth 3yr Historic,0.39423076923076916
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.69946
Price/Cash Flow (TTM),
5yr Low,1.3
5yr High,31.8
5yr Avg Return,-0.10510000000000001
Short Int Current Month,33598459.0
Short Int Prev Month,38861725.0
Short Int Pct of Float,0.1878103
Days to Cover,3.73272
Float,179.1314
Shares Outstanding,216.9763
Institutions Holding Shares,185.0
FCF Growth 5yr,0.09436273763968699
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.3007999999999997
EPS Growth (TTM),0.4858
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.5536
Return On Assets (TTM),-0.465
Return On Investment (TTM),-0.5501
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0317
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.8
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
