,RIDE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,39.97,Valuation,
Price/Sales (TTM),,101.66,Valuation,
Price/Book (MRQ),0.7,11.49,Valuation,0.060922541340295906
"PEG Ratio (TTM, GAAP)",,0.22,Valuation,
Gross Profit Margin (TTM),,0.11699999999999999,Profitability,
Operating Profit Margin (TTM),,-0.2699,Profitability,
Net Profit Margin (TTM),,-0.2521,Profitability,
Annual Dividend Yield,,0.0042,Dividend,
Dividend Change %,,-0.0204,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0355,Dividend,
EPS Growth (MRQ),-3.3007999999999997,0.7152,Gowth rates,-4.615212527964206
EPS Growth (TTM),0.4858,1.7968000000000002,Gowth rates,0.2703695458593054
Revenue Growth (MRQ),,38.5199,Gowth rates,
Revenue Growth (TTM),,40.138400000000004,Gowth rates,
Return On Equity (TTM),-0.5536,0.2255,Effectiveness,-2.4549889135254985
Return On Assets (TTM),-0.465,0.1081,Effectiveness,-4.301572617946346
Return On Investment (TTM),-0.5501,0.1748,Effectiveness,-3.1470251716247137
Revenue Per Employee (TTM),0.0,729889.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0317,0.1877,Financial strength,0.1688865210442195
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),2.8,1.3,Financial strength,2.1538461538461537
Interest Coverage (MRQ),,0.51,Financial strength,
