,CCOI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",119.93,7.61,Valuation,15.759526938239159
Price/Sales (TTM),4.73,2.74,Valuation,1.7262773722627738
Price/Book (MRQ),,1.85,Valuation,
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.6174000000000001,0.5695,Profitability,1.084108867427568
Operating Profit Margin (TTM),0.1862,0.0719,Profitability,2.5897079276773294
Net Profit Margin (TTM),0.039,0.05280000000000001,Profitability,0.7386363636363635
Annual Dividend Yield,0.062400000000000004,0.0579,Dividend,1.077720207253886
Dividend Change %,0.1423,0.010700000000000001,Dividend,13.299065420560748
"Dividend Growth Rate, 3 Years",0.1435,0.0122,Dividend,11.762295081967212
EPS Growth (MRQ),-1.7217,0.1478,Gowth rates,-11.648849797023004
EPS Growth (TTM),-0.0102,2.0171,Gowth rates,-0.005056764662138714
Revenue Growth (MRQ),0.010400000000000001,0.0106,Gowth rates,0.9811320754716982
Revenue Growth (TTM),0.014199999999999999,-0.0422,Gowth rates,-0.33649289099526064
Return On Equity (TTM),,0.1605,Effectiveness,
Return On Assets (TTM),0.0229,0.0242,Effectiveness,0.9462809917355373
Return On Investment (TTM),0.0256,0.0487,Effectiveness,0.5256673511293635
Revenue Per Employee (TTM),594244.0,880071.0,Effectiveness,0.6752227945245327
Total Debt/Total Capital (MRQ),1.6644999999999999,0.5642,Financial strength,2.9501949663239984
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,-0.0006,Financial strength,-1.166666666666667
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),0.88,6.5,Financial strength,0.13538461538461538
