,CCOI
% Above Low,0.2548
% Held by Institutions,0.8415
52-Wk Range,['46.75 - 79.23']
Annual Dividend $,3.66
Annual Dividend %,0.062400000000000004
Ask,63.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,54.88
Bid Size,100.0
Closing Price,58.66
Day Change $,0.89
Day Change %,0.0154
Day High,58.86
Day Low,57.94
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.321
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",119.93
Prev Close,57.77
Short Interest,0.0359
Today's Open,58.0
Volume,94109.0
Volume 10-day Avg,259657.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.639344262295082
Growth 1yr High Est,-0.44565217391304346
Growth 1yr Consensus Est,-0.5424982181040627
Growth 2yr Low Est,1.0666915052160952
Growth 2yr High Est,0.4928601875532821
Growth 2yr Consensus Est,0.7797758463846887
Growth 5yr Low Est,0.5333457526080476
Growth 5yr High Est,0.24643009377664105
Growth 5yr Consensus Est,0.3898879231923443
Growth 5yr Actual/Est,1.90204155487327
Growth 3yr Historic,1.5208926875593543
Price/Earnings (TTM),119.9272
Price/Sales (TTM),4.73451
Price/Book (MRQ),
Price/Cash Flow (TTM),24.61472
5yr Low,35.75
5yr High,92.96
5yr Avg Return,0.059766666666666676
EPS Growth 5yr,0.2546416
Revenue Growth 5yr,0.0570571
Dividend Growth 5yr,0.1598891
Short Int Current Month,1510930.0
Short Int Prev Month,1725531.0
Short Int Pct of Float,0.0359216
Days to Cover,4.70232
Float,42.10307
Shares Outstanding,48.01004
Institutions Holding Shares,363.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",119.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6174000000000001
Operating Profit Margin (TTM),0.1862
Net Profit Margin (TTM),0.039
Annual Dividend Yield,0.062400000000000004
Dividend Change %,0.1423
"Dividend Growth Rate, 3 Years",0.1435
EPS Growth (MRQ),-1.7217
EPS Growth (TTM),-0.0102
Revenue Growth (MRQ),0.010400000000000001
Revenue Growth (TTM),0.014199999999999999
Return On Equity (TTM),
Return On Assets (TTM),0.0229
Return On Investment (TTM),0.0256
Revenue Per Employee (TTM),594244.0
Total Debt/Total Capital (MRQ),1.6644999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.88
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-02 00:00:00
