,PLOW
% Below High,0.0932
% Held by Institutions,0.9081
52-Wk Range,['27.76 - 41.84']
Annual Dividend $,1.16
Annual Dividend %,0.029900000000000003
Ask,38.45
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.0
Bid,37.9
Bid Size,300.0
Day Change $,-0.92
Day Change %,-0.023700000000000002
Day High,38.81
Day Low,37.85
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.327
Last (size),100.0
Last (time),11:01a ET 11/28/22
Market Cap,868.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.79
Prev Close,38.86
Price,37.94
Short Interest,0.0126
Today's Open,38.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.012269938650306678
Growth 1yr High Est,0.15517241379310343
Growth 1yr Consensus Est,0.08372117622170505
Growth 2yr Low Est,0.16674102993121398
Growth 2yr High Est,0.15470063475724827
Growth 2yr Consensus Est,0.16072083234423112
Growth 5yr Low Est,0.009017066689744918
Growth 5yr High Est,0.008600317378624128
Growth 5yr Consensus Est,0.008808692034184523
Growth 5yr Actual/Est,0.057043530757026006
Growth 3yr Historic,-0.024285614231685126
Price/Earnings (TTM),24.78949
Price/Sales (TTM),1.4599
Price/Book (MRQ),3.85952
Price/Cash Flow (TTM),15.70789
5yr Low,24.12
5yr High,56.89
5yr Avg Return,0.01321666666666667
EPS Growth 5yr,-0.048235
Revenue Growth 5yr,0.0539926
Dividend Growth 5yr,0.039334600000000004
Short Int Current Month,280251.0
Short Int Prev Month,372800.0
Short Int Pct of Float,0.0125713
Days to Cover,2.59949
Float,22.30006
Shares Outstanding,22.88679
Institutions Holding Shares,178.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",24.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2458
Operating Profit Margin (TTM),0.0904
Net Profit Margin (TTM),0.059000000000000004
Annual Dividend Yield,0.029900000000000003
Dividend Change %,0.0179
"Dividend Growth Rate, 3 Years",0.0245
EPS Growth (MRQ),-0.25010000000000004
EPS Growth (TTM),-0.1005
Revenue Growth (MRQ),-0.1144
Revenue Growth (TTM),0.1144
Return On Equity (TTM),0.163
Return On Assets (TTM),0.0572
Return On Investment (TTM),0.0731
Revenue Per Employee (TTM),424239.0
Total Debt/Total Capital (MRQ),0.5599000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),5.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-04-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-25 00:00:00
cfra since,
marketEdge opinion since,
