,PLOW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.79,24.01,Valuation,1.0324864639733444
Price/Sales (TTM),1.46,3.06,Valuation,0.4771241830065359
Price/Book (MRQ),3.86,7.44,Valuation,0.5188172043010753
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.2458,0.32799999999999996,Profitability,0.7493902439024391
Operating Profit Margin (TTM),0.0904,0.0198,Profitability,4.565656565656565
Net Profit Margin (TTM),0.059000000000000004,-0.0086,Profitability,-6.86046511627907
Annual Dividend Yield,0.029900000000000003,0.0143,Dividend,2.0909090909090913
Dividend Change %,0.0179,0.1666,Dividend,0.10744297719087635
"Dividend Growth Rate, 3 Years",0.0245,0.0885,Dividend,0.2768361581920904
EPS Growth (MRQ),-0.25010000000000004,0.3518,Gowth rates,-0.7109152927799888
EPS Growth (TTM),-0.1005,0.16149999999999998,Gowth rates,-0.6222910216718267
Revenue Growth (MRQ),-0.1144,0.196,Gowth rates,-0.5836734693877551
Revenue Growth (TTM),0.1144,0.1475,Gowth rates,0.7755932203389831
Return On Equity (TTM),0.163,0.2859,Effectiveness,0.5701294158796782
Return On Assets (TTM),0.0572,0.0851,Effectiveness,0.6721504112808461
Return On Investment (TTM),0.0731,0.12490000000000001,Effectiveness,0.5852682145716572
Revenue Per Employee (TTM),424239.0,343373.0,Effectiveness,1.2355048300244924
Total Debt/Total Capital (MRQ),0.5599000000000001,0.6352000000000001,Financial strength,0.8814546599496221
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0189,Financial strength,0.026455026455026457
Quick Ratio (MRQ),1.09,1.07,Financial strength,1.0186915887850467
Interest Coverage (MRQ),5.94,20.9,Financial strength,0.2842105263157895
