,AGYS
% Below High,0.0571
% Held by Institutions,0.9969
52-Wk Range,['31.49 - 69.14']
Annual Dividend $,
Annual Dividend %,
Ask,105.42
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.0
Bid,58.5
Bid Size,400.0
Closing Price,65.19
Day Change $,0.17
Day Change %,0.0026
Day High,66.22
Day Low,64.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,No dividend
Historical Volatility,0.466
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",201.25
Prev Close,65.02
Short Interest,0.0131
Today's Open,65.12
Volume,46557.0
Volume 10-day Avg,104042.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.10526315789473673
Growth 1yr High Est,0.13414634146341475
Growth 1yr Consensus Est,0.11970474967907574
Growth 2yr Low Est,0.10620300751879697
Growth 2yr High Est,0.13158929976396538
Growth 2yr Consensus Est,0.11889615364138117
Growth 5yr Low Est,0.7078634085213033
Growth 5yr High Est,0.7070989977080696
Growth 5yr Consensus Est,0.7074812031146864
Growth 5yr Actual/Est,0.6885705309449555
Growth 3yr Historic,0.633521202361782
Price/Earnings (TTM),201.2534
Price/Sales (TTM),9.01412
Price/Book (MRQ),15.32492
Price/Cash Flow (TTM),135.3394
5yr Low,10.77
5yr High,69.14
5yr Avg Return,0.3472
EPS Growth 5yr,
Revenue Growth 5yr,0.0495911
Dividend Growth 5yr,
Short Int Current Month,312830.0
Short Int Prev Month,334516.0
Short Int Pct of Float,0.0131124
Days to Cover,2.13765
Float,23.93103
Shares Outstanding,25.06447
Institutions Holding Shares,226.0
FCF Growth 5yr,257.2162899481187
"Price/Earnings (TTM, GAAP)",201.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6083
Operating Profit Margin (TTM),0.050300000000000004
Net Profit Margin (TTM),0.0559
EPS Growth (MRQ),0.1888
EPS Growth (TTM),1.3008000000000002
Revenue Growth (MRQ),0.005
Revenue Growth (TTM),0.2114
Return On Equity (TTM),0.0855
Return On Assets (TTM),0.0496
Return On Investment (TTM),0.0688
Revenue Per Employee (TTM),129476.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.008199999999999999
Quick Ratio (MRQ),2.04
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2020-07-02 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-31 00:00:00
