,FSS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.69,24.01,Valuation,1.1949187838400666
Price/Sales (TTM),2.22,3.06,Valuation,0.7254901960784315
Price/Book (MRQ),3.61,7.44,Valuation,0.4852150537634408
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.2348,0.32799999999999996,Profitability,0.7158536585365854
Operating Profit Margin (TTM),0.09970000000000001,0.0198,Profitability,5.0353535353535355
Net Profit Margin (TTM),0.07830000000000001,-0.0086,Profitability,-9.104651162790699
Annual Dividend Yield,0.0073,0.0143,Dividend,0.5104895104895105
Dividend Change %,0.125,0.1666,Dividend,0.7503001200480193
"Dividend Growth Rate, 3 Years",0.051100000000000007,0.0885,Dividend,0.5774011299435029
EPS Growth (MRQ),-0.052300000000000006,0.3518,Gowth rates,-0.148664013644116
EPS Growth (TTM),-0.0070999999999999995,0.16149999999999998,Gowth rates,-0.04396284829721363
Revenue Growth (MRQ),-0.055400000000000005,0.196,Gowth rates,-0.2826530612244898
Revenue Growth (TTM),0.11449999999999999,0.1475,Gowth rates,0.7762711864406779
Return On Equity (TTM),0.13210000000000002,0.2859,Effectiveness,0.4620496677159847
Return On Assets (TTM),0.0758,0.0851,Effectiveness,0.8907168037602822
Return On Investment (TTM),0.08630000000000002,0.12490000000000001,Effectiveness,0.6909527622097679
Revenue Per Employee (TTM),344795.0,343373.0,Effectiveness,1.00414126911551
Total Debt/Total Capital (MRQ),0.2859,0.6352000000000001,Financial strength,0.45009445843828705
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0189,Financial strength,0.09523809523809523
Quick Ratio (MRQ),1.23,1.07,Financial strength,1.1495327102803738
Interest Coverage (MRQ),14.78,20.9,Financial strength,0.707177033492823
