,CRSR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),1.14,5.73,Valuation,0.1989528795811518
Price/Book (MRQ),3.12,44.1,Valuation,0.0707482993197279
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.21559999999999999,0.4263,Profitability,0.5057471264367815
Operating Profit Margin (TTM),-0.0291,0.2867,Profitability,-0.10149982560167423
Net Profit Margin (TTM),-0.0244,0.23690000000000003,Profitability,-0.10299704516673701
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),0.8506999999999999,0.0139,Gowth rates,61.20143884892086
EPS Growth (TTM),-1.4368,0.0891,Gowth rates,-16.125701459034794
Revenue Growth (MRQ),0.0981,0.0784,Gowth rates,1.2512755102040818
Revenue Growth (TTM),-0.2374,0.0893,Gowth rates,-2.658454647256439
Return On Equity (TTM),-0.0925,1.7101,Effectiveness,-0.05409040406993743
Return On Assets (TTM),-0.0288,0.27030000000000004,Effectiveness,-0.10654827968923417
Return On Investment (TTM),-0.0431,0.45,Effectiveness,-0.09577777777777777
Revenue Per Employee (TTM),597185.0,2289443.0,Effectiveness,0.2608429211821391
Total Debt/Total Capital (MRQ),0.30510000000000004,0.7151000000000001,Financial strength,0.4266536148790379
Change in Debt/Total Capital Quarter over Quarter,0.0011,-0.0004,Financial strength,-2.75
Quick Ratio (MRQ),0.82,0.84,Financial strength,0.9761904761904762
Interest Coverage (MRQ),-4.02,317.99,Financial strength,-0.01264190697820686
