,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,51.37,49.6,23.98,,,,,
low,14.09,20.05,10.96,,,,,
change,1.3955000000000002,-0.4322,-0.2049,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,62.0,29.0,36.0,57.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,292.0,237.0,171.0,157.0,Balance Sheet
Prov. for Doubtful Accts,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,291.0,236.0,170.0,156.0,Balance Sheet
Invent. - Finished Goods,,,,231.0,214.0,216.0,188.0,Balance Sheet
Invent. - Work In Progress,,,,5.0,8.0,8.0,10.0,Balance Sheet
Invent. - Raw Materials,,,,62.0,78.0,69.0,52.0,Balance Sheet
Total Inventory,,,,298.0,300.0,293.0,250.0,Balance Sheet
Prepaid Expenses,,,,51.0,58.0,53.0,48.0,Balance Sheet
"Other Curr. Assets, Total",,,,3.0,3.0,3.0,4.0,Balance Sheet
Total Current Assets,,,,706.0,627.0,555.0,515.0,Balance Sheet
Buildings,,,,5.0,5.0,12.0,5.0,Balance Sheet
Machinery/Equipment,,,,36.0,38.0,38.0,39.0,Balance Sheet
Other Prop./Plant/Equip.,,,,56.0,56.0,50.0,59.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,97.0,99.0,100.0,103.0,Balance Sheet
Accumulated Depreciation,,,,-29.0,-31.0,-32.0,-33.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,68.0,68.0,68.0,70.0,Balance Sheet
"Goodwill, Net",,,,317.0,348.0,348.0,346.0,Balance Sheet
Intangibles - Gross,,,,351.0,378.0,381.0,374.0,Balance Sheet
Accum. Intangible Amort.,,,,-125.0,-135.0,-144.0,-150.0,Balance Sheet
Intangibles - Net,,,,226.0,250.0,236.0,224.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,13.0,16.0,18.0,20.0,Balance Sheet
Restricted Cash - LT,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,8.0,10.0,7.0,7.0,Balance Sheet
Total Assets,,,,1337.0,1319.0,1232.0,1183.0,Balance Sheet
Accounts Payable,,,,236.0,203.0,194.0,162.0,Balance Sheet
Accrued Expenses,,,,152.0,126.0,111.0,109.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,5.0,5.0,5.0,5.0,Balance Sheet
Customer Advances,,,,,5.0,4.0,3.0,Balance Sheet
Income Taxes Payable,,,,6.0,8.0,6.0,14.0,Balance Sheet
Other Current Liabilities,,,,47.0,37.0,36.0,32.0,Balance Sheet
"Other Curr. Lblts, Total",,,,54.0,50.0,47.0,49.0,Balance Sheet
Total Current Liabilities,,,,447.0,385.0,357.0,325.0,Balance Sheet
Total Long Term Debt,,,,243.0,242.0,240.0,239.0,Balance Sheet
Total Debt,,,,248.0,246.0,245.0,244.0,Balance Sheet
Deferred Income Tax,,,,26.0,29.0,23.0,16.0,Balance Sheet
Minority Interest,,,,,31.0,38.0,39.0,Balance Sheet
"Other Liabilities, Total",,,,54.0,52.0,49.0,48.0,Balance Sheet
Total Liabilities,,,,769.0,739.0,707.0,667.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,470.0,490.0,499.0,505.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,98.0,93.0,34.0,25.0,Balance Sheet
"Other Equity, Total",,,,0.0,-2.0,-8.0,-13.0,Balance Sheet
Total Equity,,,,568.0,580.0,525.0,516.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1337.0,1319.0,1232.0,1183.0,Balance Sheet
