,CRSR
% Above Low,0.5328
% Held by Institutions,0.7719
52-Wk Range,['10.96 - 23.98']
Annual Dividend $,
Annual Dividend %,
Ask,16.9
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.6
Bid Size,100.0
Closing Price,16.8
Day Change $,-0.05
Day Change %,-0.003
Day High,16.97
Day Low,16.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.85
Short Interest,0.1507
Today's Open,16.74
Volume,151988.0
Volume 10-day Avg,883901.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.75
Growth 2yr High Est,5.333333333333333
Growth 2yr Consensus Est,4.541666666666666
Growth 5yr Low Est,3.75
Growth 5yr High Est,5.333333333333333
Growth 5yr Consensus Est,4.541666666666666
Growth 5yr Actual/Est,1.1437910509031195
Growth 3yr Historic,-0.031250000000000035
Price/Earnings (TTM),
Price/Sales (TTM),1.1431
Price/Book (MRQ),3.12274
Price/Cash Flow (TTM),101.9973
5yr Low,10.96
5yr High,51.37
5yr Avg Return,0.2528
Short Int Current Month,6227679.0
Short Int Prev Month,6259609.0
Short Int Pct of Float,0.1506911
Days to Cover,5.53967
Float,97.70539
Shares Outstanding,101.1777
Institutions Holding Shares,199.0
FCF Growth 5yr,-5.827491636706547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.21559999999999999
Operating Profit Margin (TTM),-0.0291
Net Profit Margin (TTM),-0.0244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8506999999999999
EPS Growth (TTM),-1.4368
Revenue Growth (MRQ),0.0981
Revenue Growth (TTM),-0.2374
Return On Equity (TTM),-0.0925
Return On Assets (TTM),-0.0288
Return On Investment (TTM),-0.0431
Revenue Per Employee (TTM),597185.0
Total Debt/Total Capital (MRQ),0.30510000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),-4.02
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-11-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-11-03 00:00:00
marketEdge opinion since,
