,SGH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.81,20.56,Valuation,0.6716926070038911
Price/Sales (TTM),0.46,7.41,Valuation,0.0620782726045884
Price/Book (MRQ),2.24,13.13,Valuation,0.1706016755521706
"PEG Ratio (TTM, GAAP)",1.62,0.9,Valuation,1.8
Gross Profit Margin (TTM),0.24910000000000002,0.5489,Profitability,0.4538167243578065
Operating Profit Margin (TTM),0.0626,0.25739999999999996,Profitability,0.24320124320124326
Net Profit Margin (TTM),0.037700000000000004,0.2224,Profitability,0.16951438848920866
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-0.0986,1.5356,Gowth rates,-0.06420942953894243
EPS Growth (TTM),2.0180000000000002,0.2274,Gowth rates,8.874230430958665
Revenue Growth (MRQ),-0.053700000000000005,0.1335,Gowth rates,-0.40224719101123596
Revenue Growth (TTM),0.212,0.24170000000000003,Gowth rates,0.8771203971865948
Return On Equity (TTM),0.1952,0.36920000000000003,Effectiveness,0.5287107258938245
Return On Assets (TTM),0.047,0.16010000000000002,Effectiveness,0.2935665209244222
Return On Investment (TTM),0.0761,0.1925,Effectiveness,0.3953246753246753
Revenue Per Employee (TTM),505376.0,898550.0,Effectiveness,0.5624350342218017
Total Debt/Total Capital (MRQ),0.6145,0.3576,Financial strength,1.7184004474272934
Change in Debt/Total Capital Quarter over Quarter,0.0040999999999999995,0.0,Financial strength,inf
Quick Ratio (MRQ),1.61,2.24,Financial strength,0.71875
Interest Coverage (MRQ),3.58,15.8,Financial strength,0.22658227848101264
