,SGH
% Above Low,0.38079999999999997
% Held by Institutions,1.0567
52-Wk Range,['12.04 - 37.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.65
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,16.6
Bid Size,200.0
Day Change $,-0.535
Day Change %,-0.031200000000000002
Day High,16.95
Day Low,16.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.24
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),12.0
Last (time),2:05p ET 11/28/22
Market Cap,808.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.81
Prev Close,17.16
Price,16.63
Short Interest,0.0849
Today's Open,16.9
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-03 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5289017341040463
Growth 1yr High Est,-0.26801152737752165
Growth 1yr Consensus Est,-0.39845663074078397
Growth 2yr Low Est,-0.07426681797226853
Growth 2yr High Est,-0.00014749597222540878
Growth 2yr Consensus Est,-0.03720715697224697
Growth 5yr Low Est,0.052082277288375556
Growth 5yr High Est,0.08747489014618304
Growth 5yr Consensus Est,0.0697785837172793
Growth 5yr Actual/Est,0.3288561611789846
Growth 3yr Historic,0.34866637194223404
Price/Earnings (TTM),13.8072
Price/Sales (TTM),0.45859
Price/Book (MRQ),2.2444
Price/Cash Flow (TTM),6.25256
5yr Low,8.21
5yr High,37.25
5yr Avg Return,0.06248333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.19034600000000002
Dividend Growth 5yr,
Short Int Current Month,3977902.0
Short Int Prev Month,4122666.0
Short Int Pct of Float,0.08489010000000001
Days to Cover,8.40962
Float,46.76142
Shares Outstanding,48.62059
Institutions Holding Shares,262.0
FCF Growth 5yr,3.883355367057984
"Price/Earnings (TTM, GAAP)",13.81
"PEG Ratio (TTM, GAAP)",1.62
Gross Profit Margin (TTM),0.24910000000000002
Operating Profit Margin (TTM),0.0626
Net Profit Margin (TTM),0.037700000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0986
EPS Growth (TTM),2.0180000000000002
Revenue Growth (MRQ),-0.053700000000000005
Revenue Growth (TTM),0.212
Return On Equity (TTM),0.1952
Return On Assets (TTM),0.047
Return On Investment (TTM),0.0761
Revenue Per Employee (TTM),505376.0
Total Debt/Total Capital (MRQ),0.6145
Change in Debt/Total Capital Quarter over Quarter,0.0040999999999999995
Quick Ratio (MRQ),1.61
Interest Coverage (MRQ),3.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-27 00:00:00
theStreet since,2022-09-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
