,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,38.0,16.63,31.58,44.95,31.47,,,,,
low,9.42,2.44,3.0,16.82,11.47,,,,,
change,-0.46630000000000005,-0.2462,2.7612,-0.24739999999999998,-0.0085,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,396.0,286.0,236.0,492.0,Balance Sheet
Short Term Investments,,,,,,,,1.0,1.0,Balance Sheet
Cash and Short Term Invs,,,,,,396.0,286.0,237.0,494.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,,78.0,71.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,113.0,124.0,111.0,97.0,Balance Sheet
Other Receivables,,,,,,11.0,14.0,12.0,11.0,Balance Sheet
"Total Receivables, Net",,,,,,124.0,139.0,123.0,108.0,Balance Sheet
Invent. - Finished Goods,,,,,,31.0,43.0,47.0,61.0,Balance Sheet
Invent. - Work In Progress,,,,,,32.0,41.0,41.0,37.0,Balance Sheet
Invent. - Raw Materials,,,,,,81.0,98.0,119.0,156.0,Balance Sheet
Total Inventory,,,,,,143.0,183.0,207.0,255.0,Balance Sheet
Prepaid Expenses,,,,,,25.0,29.0,22.0,34.0,Balance Sheet
Restricted Cash - Current,,,,,,93.0,70.0,50.0,42.0,Balance Sheet
Other Current Assets,,,,,,25.0,17.0,30.0,32.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,118.0,87.0,80.0,74.0,Balance Sheet
Total Current Assets,,,,,,806.0,724.0,669.0,964.0,Balance Sheet
Buildings,,,,,,102.0,113.0,115.0,118.0,Balance Sheet
Machinery/Equipment,,,,,,807.0,821.0,818.0,827.0,Balance Sheet
Construction in Progress,,,,,,44.0,37.0,69.0,91.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,115.0,107.0,119.0,123.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1067.0,1078.0,1122.0,1159.0,Balance Sheet
Accumulated Depreciation,,,,,,-357.0,-371.0,-382.0,-398.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,711.0,707.0,739.0,761.0,Balance Sheet
"Goodwill, Net",,,,,,2.0,2.0,,,Balance Sheet
Long Term Investments,,,,,,,,2.0,3.0,Balance Sheet
Note Rcvble - Long Term,,,,,,47.0,46.0,8.0,8.0,Balance Sheet
Deferred Charges,,,,,,25.0,26.0,23.0,20.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,,1.0,1.0,Balance Sheet
Restricted Cash - LT,,,,,,127.0,138.0,128.0,135.0,Balance Sheet
Other Long Term Assets,,,,,,8.0,7.0,10.0,10.0,Balance Sheet
Total Assets,,,,,,1726.0,1650.0,1581.0,1902.0,Balance Sheet
Accounts Payable,,,,,,73.0,89.0,134.0,120.0,Balance Sheet
Accrued Expenses,,,,,,86.0,62.0,91.0,91.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,41.0,46.0,44.0,46.0,Balance Sheet
Customer Advances,,,,,,90.0,94.0,93.0,99.0,Balance Sheet
Other Current Liabilities,,,,,,52.0,56.0,31.0,36.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,142.0,150.0,124.0,135.0,Balance Sheet
Total Current Liabilities,,,,,,342.0,347.0,394.0,393.0,Balance Sheet
Long Term Debt,,,,,,501.0,493.0,462.0,455.0,Balance Sheet
Capital Lease Obligations,,,,,,464.0,454.0,449.0,446.0,Balance Sheet
Total Long Term Debt,,,,,,965.0,947.0,912.0,900.0,Balance Sheet
Total Debt,,,,,,1006.0,993.0,956.0,947.0,Balance Sheet
Minority Interest,,,,,,43.0,36.0,32.0,29.0,Balance Sheet
"Other Liabilities, Total",,,,,,211.0,203.0,212.0,198.0,Balance Sheet
Total Liabilities,,,,,,1561.0,1532.0,1549.0,1521.0,Balance Sheet
Redeemable Preferred Stock,,,,,,209.0,209.0,209.0,209.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,3219.0,3251.0,3284.0,3692.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-3263.0,-3341.0,-3460.0,-3517.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,-1.0,-1.0,-2.0,Balance Sheet
Total Equity,,,,,,164.0,118.0,32.0,381.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1726.0,1650.0,1581.0,1902.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,161.0,162.0,163.0,179.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,16.0,16.0,16.0,16.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,176.0,178.0,179.0,195.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,342471.0,201039.0,243236.0,292274.0,Income Statement
"Cost of Revenue, Total",,,,,,273768.0,173102.0,245206.0,241330.0,Income Statement
Selling/Gen/Admin Expense,,,,,,45051.0,43704.0,43970.0,53159.0,Income Statement
Labor & Related Expense,,,,,,10363.0,15366.0,14619.0,14231.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,55414.0,59070.0,58589.0,67390.0,Income Statement
Research & Development,,,,,,26794.0,34526.0,41614.0,36146.0,Income Statement
Unusual Expense (Income),,,,,,0.0,,4233.0,0.0,Income Statement
