,BE
% Below High,0.2974
% Held by Institutions,0.7948000000000001
52-Wk Range,['11.47 - 31.47']
Annual Dividend $,
Annual Dividend %,
Ask,22.31
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.9
Bid,20.25
Bid Size,100.0
Closing Price,22.11
Day Change $,-0.2
Day Change %,-0.009000000000000001
Day High,22.22
Day Low,21.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.6
Ex-dividend Date,No dividend
Historical Volatility,0.8009999999999999
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.31
Short Interest,0.094
Today's Open,22.13
Volume,757848.0
Volume 10-day Avg,2265046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.09836065573770503
Growth 1yr High Est,0.5
Growth 1yr Consensus Est,0.2991803278688525
Growth 2yr Low Est,-0.34634206019084895
Growth 2yr High Est,-1.356060606060606
Growth 2yr Consensus Est,-0.8512013331257274
Growth 5yr Low Est,-0.34634206019084895
Growth 5yr High Est,-1.356060606060606
Growth 5yr Consensus Est,-0.8512013331257274
Growth 5yr Actual/Est,-0.4490378770628009
Growth 3yr Historic,-0.13215476017968408
Price/Earnings (TTM),
Price/Sales (TTM),3.99939
Price/Book (MRQ),24.93311
Price/Cash Flow (TTM),
5yr Low,2.44
5yr High,44.95
5yr Avg Return,0.35856
EPS Growth 5yr,
Revenue Growth 5yr,0.3605393
Dividend Growth 5yr,
Short Int Current Month,15292034.0
Short Int Prev Month,15802678.0
Short Int Pct of Float,0.0940469
Days to Cover,4.89879
Float,162.9301
Shares Outstanding,195.1795
Institutions Holding Shares,434.0
FCF Growth 5yr,0.3453422179921061
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.135
Operating Profit Margin (TTM),-0.2207
Net Profit Margin (TTM),-0.2899
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5401
EPS Growth (TTM),-0.74
Revenue Growth (MRQ),0.2016
Revenue Growth (TTM),0.2274
Return On Equity (TTM),-4.5651
Return On Assets (TTM),-0.1877
Return On Investment (TTM),-0.2451
Revenue Per Employee (TTM),627702.0
Total Debt/Total Capital (MRQ),0.6973
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),1.81
Interest Coverage (MRQ),-4.41
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-02-12 00:00:00
ford since,2022-02-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-02-12 00:00:00
marketEdge opinion since,
