,BE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),4.0,12.92,Valuation,0.30959752321981426
Price/Book (MRQ),24.93,9.0,Valuation,2.77
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.135,0.2968,Profitability,0.45485175202156336
Operating Profit Margin (TTM),-0.2207,-0.5081,Profitability,0.43436331430820707
Net Profit Margin (TTM),-0.2899,-0.706,Profitability,0.4106232294617564
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),0.5401,0.5871000000000001,Gowth rates,0.9199454948049736
EPS Growth (TTM),-0.74,-1.2397,Gowth rates,0.5969186093409695
Revenue Growth (MRQ),0.2016,0.28940000000000005,Gowth rates,0.6966136834830683
Revenue Growth (TTM),0.2274,0.22710000000000002,Gowth rates,1.0013210039630118
Return On Equity (TTM),-4.5651,0.10210000000000001,Effectiveness,-44.71204701273261
Return On Assets (TTM),-0.1877,0.0479,Effectiveness,-3.918580375782881
Return On Investment (TTM),-0.2451,0.0575,Effectiveness,-4.262608695652174
Revenue Per Employee (TTM),627702.0,348568.0,Effectiveness,1.8008021390374331
Total Debt/Total Capital (MRQ),0.6973,0.3799,Financial strength,1.8354830218478546
Change in Debt/Total Capital Quarter over Quarter,-0.0027,0.0017000000000000001,Financial strength,-1.588235294117647
Quick Ratio (MRQ),1.81,1.37,Financial strength,1.3211678832116787
Interest Coverage (MRQ),-4.41,9.61,Financial strength,-0.4588969823100937
