,IMVT
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.10967741935483866
Growth 1yr High Est,0.06060606060606055
Growth 1yr Consensus Est,0.0851417399804496
Growth 2yr Low Est,0.0984433608402101
Growth 2yr High Est,0.08744588744588744
Growth 2yr Consensus Est,0.09294462414304877
Growth 5yr Low Est,0.0984433608402101
Growth 5yr High Est,0.08744588744588744
Growth 5yr Consensus Est,0.09294462414304877
Growth 5yr Actual/Est,0.03471357445210943
Growth 3yr Historic,-0.008915265062806044
