,IMVT
% Below High,0.019299999999999998
% Held by Institutions,0.3889
52-Wk Range,['3.15 - 13.48']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,600.0
B/A Ratio,1.3333333333333333
B/A Size,800x600
Beta,1.3
Bid,13.22
Bid Size,800.0
Closing Price,13.22
Day Change $,-0.08
Day Change %,-0.006
Day High,13.4
Day Low,13.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,0.756
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.3
Short Interest,0.054400000000000004
Today's Open,13.38
Volume,186399.0
Volume 10-day Avg,793877.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.10967741935483866
Growth 1yr High Est,0.06060606060606055
Growth 1yr Consensus Est,0.0851417399804496
Growth 2yr Low Est,0.0984433608402101
Growth 2yr High Est,0.08744588744588744
Growth 2yr Consensus Est,0.09294462414304877
Growth 5yr Low Est,0.0984433608402101
Growth 5yr High Est,0.08744588744588744
Growth 5yr Consensus Est,0.09294462414304877
Growth 5yr Actual/Est,0.03471357445210943
Growth 3yr Historic,-0.008915265062806044
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.8955
Price/Cash Flow (TTM),
5yr Low,3.15
5yr High,53.75
5yr Avg Return,0.560025
Short Int Current Month,2899410.0
Short Int Prev Month,2690574.0
Short Int Pct of Float,0.054443099999999994
Days to Cover,2.81637
Float,53.32201
Shares Outstanding,129.1824
Institutions Holding Shares,161.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.187
EPS Growth (TTM),-0.20070000000000002
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.37950000000000006
Return On Assets (TTM),-0.3555
Return On Investment (TTM),-0.37840000000000007
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-05 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
