,TEAM
% Above Low,0.1106
% Held by Institutions,0.8134
52-Wk Range,['113.86 - 404.68']
Annual Dividend $,
Annual Dividend %,
Ask,126.45
Ask Size,100.0
Ask close,132.23
B/A Ratio,21.0
B/A Size,2100x100
Beta,0.8
Bid,125.5
Bid Size,2100.0
Bid close,116.32
Change Since Close,0.00| |(0.00%)
Closing Price,126.45
Day Change $,2.32
Day Change %,0.0187
Day High,127.55
Day Low,122.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.43
Ex-dividend Date,No dividend
Historical Volatility,0.813
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,126.45
Market Cap,32.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,124.13
Short Interest,0.0275
Today's Open,123.41
Volume,2606793.0
Volume 10-day Avg,2620824.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.32121212121212106
Growth 1yr High Est,0.3227513227513228
Growth 1yr Consensus Est,0.0007696007696008644
Growth 2yr Low Est,-0.20524891774891768
Growth 2yr High Est,0.4213756613756614
Growth 2yr Consensus Est,0.10806337181337186
Growth 5yr Low Est,0.0187065866862888
Growth 5yr High Est,0.3554404496452963
Growth 5yr Consensus Est,0.18707351816579254
Growth 5yr Actual/Est,0.16247426660825043
Growth 3yr Historic,0.10613354037267081
Price/Earnings (TTM),
Price/Sales (TTM),11.3161
Price/Book (MRQ),94.29039
Price/Cash Flow (TTM),
5yr Low,43.11
5yr High,483.13
5yr Avg Return,0.35413333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.3493085
Dividend Growth 5yr,
Short Int Current Month,4065441.0
Short Int Prev Month,3759956.0
Short Int Pct of Float,0.0275395
Days to Cover,0.879
Float,145.9493
Shares Outstanding,255.52
Institutions Holding Shares,808.0
FCF Growth 5yr,1.479518958137379
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8338
Operating Profit Margin (TTM),-0.038
Net Profit Margin (TTM),-0.21910000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.3826
EPS Growth (TTM),0.1329
Revenue Growth (MRQ),0.026099999999999998
Revenue Growth (TTM),0.34159999999999996
Return On Equity (TTM),-1.9480000000000002
Return On Assets (TTM),-0.1948
Return On Investment (TTM),-0.5112
Revenue Per Employee (TTM),318040.0
Total Debt/Total Capital (MRQ),0.7966
Change in Debt/Total Capital Quarter over Quarter,0.009000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-11.98
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-08-03 00:00:00
theStreet since,2020-08-03 00:00:00
cfra since,2021-12-13 00:00:00
ford since,2022-02-04 00:00:00
marketEdge opinion since,
