,TEAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),11.32,9.39,Valuation,1.2055378061767839
Price/Book (MRQ),94.29,12.63,Valuation,7.465558194774347
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8338,0.7206,Profitability,1.1570913127948932
Operating Profit Margin (TTM),-0.038,0.2172,Profitability,-0.17495395948434622
Net Profit Margin (TTM),-0.21910000000000002,0.1553,Profitability,-1.410817772054089
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-2.3826,-0.0752,Gowth rates,31.68351063829787
EPS Growth (TTM),0.1329,-0.2824,Gowth rates,-0.47060906515580736
Revenue Growth (MRQ),0.026099999999999998,0.15560000000000002,Gowth rates,0.1677377892030848
Revenue Growth (TTM),0.34159999999999996,0.1906,Gowth rates,1.7922350472193074
Return On Equity (TTM),-1.9480000000000002,0.2189,Effectiveness,-8.899040657834629
Return On Assets (TTM),-0.1948,0.10740000000000001,Effectiveness,-1.8137802607076348
Return On Investment (TTM),-0.5112,0.1387,Effectiveness,-3.685652487382841
Revenue Per Employee (TTM),318040.0,667721.0,Effectiveness,0.4763067209208637
Total Debt/Total Capital (MRQ),0.7966,0.39659999999999995,Financial strength,2.0085728693898135
Change in Debt/Total Capital Quarter over Quarter,0.009000000000000001,0.0004,Financial strength,22.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-11.98,0.28,Financial strength,-42.785714285714285
