,ATEX
% Above Low,0.21739999999999998
% Held by Institutions,0.8311
52-Wk Range,['29.74 - 61.25']
Annual Dividend $,
Annual Dividend %,
Ask,56.82
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,14.48
Bid Size,200.0
Closing Price,36.2
Day Change $,-0.53
Day Change %,-0.0144
Day High,37.2
Day Low,35.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.56
Ex-dividend Date,No dividend
Historical Volatility,0.368
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,686.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,36.73
Short Interest,0.0398
Today's Open,36.82
Volume,35315.0
Volume 10-day Avg,96525.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-0.16770186335403725
Growth 1yr High Est,-0.08996539792387548
Growth 1yr Consensus Est,-0.12883363063895636
Growth 2yr Low Est,-0.20511958839343658
Growth 2yr High Est,-0.2997355506729643
Growth 2yr Consensus Est,-0.25242756953320045
Growth 5yr Low Est,-0.13674639226229104
Growth 5yr High Est,-0.19982370044864287
Growth 5yr Consensus Est,-0.16828504635546696
Growth 5yr Actual/Est,-0.007231757114785797
Growth 3yr Historic,0.007038520027344869
Price/Earnings (TTM),
Price/Sales (TTM),471.98
Price/Book (MRQ),4.13236
Price/Cash Flow (TTM),
5yr Low,22.5
5yr High,66.55
5yr Avg Return,0.05215000000000001
EPS Growth 5yr,
Revenue Growth 5yr,-0.2569925
Dividend Growth 5yr,
Short Int Current Month,712274.0
Short Int Prev Month,725765.0
Short Int Pct of Float,0.039801500000000004
Days to Cover,5.15535
Float,17.91631
Shares Outstanding,18.94439
Institutions Holding Shares,143.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.49210000000000004
Operating Profit Margin (TTM),-32.2856
Net Profit Margin (TTM),-32.7399
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2077
EPS Growth (TTM),-0.2279
Revenue Growth (MRQ),0.1881
Revenue Growth (TTM),0.8604
Return On Equity (TTM),-0.25079999999999997
Return On Assets (TTM),-0.1856
Return On Investment (TTM),-0.2
Revenue Per Employee (TTM),19904.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-02-04 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
