,ATEX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,7.61,Valuation,
Price/Sales (TTM),471.98,2.74,Valuation,172.25547445255475
Price/Book (MRQ),4.13,1.85,Valuation,2.2324324324324323
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.49210000000000004,0.5695,Profitability,0.8640913081650571
Operating Profit Margin (TTM),-32.2856,0.0719,Profitability,-449.0347705146036
Net Profit Margin (TTM),-32.7399,0.05280000000000001,Profitability,-620.0738636363635
Annual Dividend Yield,,0.0579,Dividend,
Dividend Change %,,0.010700000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0122,Dividend,
EPS Growth (MRQ),0.2077,0.1478,Gowth rates,1.405277401894452
EPS Growth (TTM),-0.2279,2.0171,Gowth rates,-0.11298398691190321
Revenue Growth (MRQ),0.1881,0.0106,Gowth rates,17.745283018867923
Revenue Growth (TTM),0.8604,-0.0422,Gowth rates,-20.38862559241706
Return On Equity (TTM),-0.25079999999999997,0.1605,Effectiveness,-1.5626168224299064
Return On Assets (TTM),-0.1856,0.0242,Effectiveness,-7.669421487603305
Return On Investment (TTM),-0.2,0.0487,Effectiveness,-4.106776180698152
Revenue Per Employee (TTM),19904.0,880071.0,Effectiveness,0.022616357089371198
Total Debt/Total Capital (MRQ),0.0,0.5642,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0006,Financial strength,
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),,6.5,Financial strength,
