,FRG
% Above Low,0.1234
% Held by Institutions,0.7942
52-Wk Range,['22.93 - 55.10']
Annual Dividend $,2.5
Annual Dividend %,0.09699999999999999
Ask,26.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,25.43
Bid Size,100.0
Closing Price,25.76
Day Change $,0.04
Day Change %,0.0016
Day High,26.08
Day Low,25.65
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.53
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,984.2M
"P/E Ratio (TTM, GAAP)",14.29
Prev Close,25.72
Short Interest,0.16440000000000002
Today's Open,25.97
Volume,134436.0
Volume 10-day Avg,551486.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1908602150537635
Growth 1yr High Est,-0.17929292929292928
Growth 1yr Consensus Est,-0.1850765721733464
Growth 2yr Low Est,-0.25822080520130036
Growth 2yr High Est,-0.04503108003108003
Growth 2yr Consensus Est,-0.1516259426161902
Growth 5yr Low Est,-0.25822080520130036
Growth 5yr High Est,-0.04503108003108003
Growth 5yr Consensus Est,-0.1516259426161902
Growth 5yr Actual/Est,1.0664982769423559
Growth 3yr Historic,1.148809523809524
Price/Earnings (TTM),14.29435
Price/Sales (TTM),0.23299
Price/Book (MRQ),1.80145
Price/Cash Flow (TTM),6.05461
5yr Low,5.75
5yr High,55.1
5yr Avg Return,0.2523
Short Int Current Month,4227206.0
Short Int Prev Month,4698469.0
Short Int Pct of Float,0.1643528
Days to Cover,4.8511
Float,25.74085
Shares Outstanding,38.20583
Institutions Holding Shares,199.0
FCF Growth 5yr,23.72028027082349
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",14.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4292
Operating Profit Margin (TTM),0.057300000000000004
Net Profit Margin (TTM),0.0199
Annual Dividend Yield,0.09699999999999999
Dividend Change %,-0.11109999999999999
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.2674
EPS Growth (TTM),5.0728
Revenue Growth (MRQ),-0.039700000000000006
Revenue Growth (TTM),0.5037
Return On Equity (TTM),0.1308
Return On Assets (TTM),0.0258
Return On Investment (TTM),0.034
Revenue Per Employee (TTM),463233.0
Total Debt/Total Capital (MRQ),0.7547
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),0.75
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-05-28 00:00:00
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
