,CENTA
% Above Low,0.1291
% Held by Institutions,
52-Wk Range,['33.69 - 48.67']
Annual Dividend $,
Annual Dividend %,
Ask,59.42
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,15.21
Bid Size,200.0
Closing Price,38.04
Day Change $,0.03
Day Change %,0.0008
Day High,38.5
Day Low,37.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.303
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,38.01
Short Interest,
Today's Open,37.87
Volume,81940.0
Volume 10-day Avg,179525.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.054151624548736454
Growth 1yr High Est,0.016949152542372836
Growth 1yr Consensus Est,-0.01860123600318181
Growth 2yr Low Est,0.009183729710364574
Growth 2yr High Est,0.05014124293785305
Growth 2yr Consensus Est,0.02966248632410881
Growth 5yr Low Est,0.009183729710364574
Growth 5yr High Est,0.05014124293785305
Growth 5yr Consensus Est,0.02966248632410881
Growth 5yr Actual/Est,0.0774507267983695
Growth 3yr Historic,0.06273487695478239
5yr Low,20.51
5yr High,55.82
5yr Avg Return,0.02121666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1019763
Dividend Growth 5yr,
FCF Growth 5yr,0.4413291337216478
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
newConstructs,
researchTeam since,2022-11-22 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-22 00:00:00
theStreet since,
newConstructs since,
