,PEBO
% Above Low,0.1529
% Held by Institutions,0.5019
52-Wk Range,['25.63 - 34.63']
Annual Dividend $,1.52
Annual Dividend %,0.051100000000000007
Ask,29.64
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,29.55
Bid Size,200.0
Day Change $,-0.22
Day Change %,-0.0074
Day High,29.8
Day Low,29.55
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.62
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.24800000000000003
Last (size),400.0
Last (time),10:26a ET 11/28/22
Market Cap,837.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.22
Prev Close,29.77
Price,29.55
Short Interest,0.0292
Today's Open,29.8
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.36328125
Growth 1yr High Est,0.38257575757575757
Growth 1yr Consensus Est,0.3729285037878788
Growth 2yr Low Est,0.16444864792263608
Growth 2yr High Est,0.1953974678289747
Growth 2yr Consensus Est,0.1799230578758054
Growth 5yr Low Est,0.08222432396131804
Growth 5yr High Est,0.09769873391448736
Growth 5yr Consensus Est,0.0899615289379027
Growth 5yr Actual/Est,0.13612639361723064
Growth 3yr Historic,-0.024035514100543
Price/Earnings (TTM),8.21541
Price/Sales (TTM),2.65349
Price/Book (MRQ),1.10416
Price/Cash Flow (TTM),7.20665
5yr Low,17.91
5yr High,39.58
5yr Avg Return,-0.014116666666666671
EPS Growth 5yr,0.0462015
Revenue Growth 5yr,0.09865399999999999
Dividend Growth 5yr,0.17444099999999998
Short Int Current Month,806009.0
Short Int Prev Month,601592.0
Short Int Pct of Float,0.0292412
Days to Cover,6.86456
Float,27.56596
Shares Outstanding,28.2715
Institutions Holding Shares,195.0
FCF Growth 5yr,1.0137125168010688
"Price/Earnings (TTM, GAAP)",8.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.40299999999999997
Net Profit Margin (TTM),0.3222
Annual Dividend Yield,0.051100000000000007
Dividend Change %,0.0438
"Dividend Growth Rate, 3 Years",0.0849
EPS Growth (MRQ),0.0471
EPS Growth (TTM),0.7417
Revenue Growth (MRQ),0.0894
Revenue Growth (TTM),0.5193
Return On Equity (TTM),0.1278
Return On Assets (TTM),0.014499999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
