,IOVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),2.48,12.61,Valuation,0.19666931007137192
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0007000000000000001,-0.0014000000000000002,Gowth rates,-0.5
EPS Growth (TTM),-0.1863,0.027200000000000002,Gowth rates,-6.849264705882352
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.7141,0.1967,Effectiveness,-3.6304016268429073
Return On Assets (TTM),-0.5672,0.0016,Effectiveness,-354.5
Return On Investment (TTM),-0.6336,0.0219,Effectiveness,-28.93150684931507
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0025,0.4675,Financial strength,0.0053475935828877
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001,0.0036,Financial strength,1.4444444444444446
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
