,IOVA
% Above Low,0.1402
% Held by Institutions,0.9990000000000001
52-Wk Range,['5.42 - 20.60']
Annual Dividend $,
Annual Dividend %,
Ask,6.31
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,6.19
Bid Size,100.0
Closing Price,6.18
Day Change $,-0.04
Day Change %,-0.0064
Day High,6.29
Day Low,6.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.48
Ex-dividend Date,No dividend
Historical Volatility,1.084
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,975.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.22
Short Interest,0.1242
Today's Open,6.15
Volume,1378454.0
Volume 10-day Avg,4484564.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.19724770642201817
Growth 1yr High Est,0.15238095238095228
Growth 1yr Consensus Est,0.17481432940148522
Growth 2yr Low Est,0.15417940876656466
Growth 2yr High Est,-0.022983077528532125
Growth 2yr Consensus Est,0.06559816561901627
Growth 5yr Low Est,0.14990669135921073
Growth 5yr High Est,0.044603041947270716
Growth 5yr Consensus Est,0.09725486665324072
Growth 5yr Actual/Est,0.11440909576418301
Growth 3yr Historic,0.09214003746821892
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.47745
Price/Cash Flow (TTM),
5yr Low,5.42
5yr High,54.21
5yr Avg Return,0.25416666666666665
Short Int Current Month,18239507.0
Short Int Prev Month,17261489.0
Short Int Pct of Float,0.1242439
Days to Cover,5.81353
Float,146.8525
Shares Outstanding,157.8406
Institutions Holding Shares,325.0
FCF Growth 5yr,0.22462334199243547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0007000000000000001
EPS Growth (TTM),-0.1863
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.7141
Return On Assets (TTM),-0.5672
Return On Investment (TTM),-0.6336
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0025
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
