,IOVA
% Above Low,0.1402
% Held by Institutions,0.9990000000000001
52-Wk Range,['5.42 - 20.60']
Annual Dividend $,
Annual Dividend %,
Ask,6.31
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,6.19
Bid Size,100.0
Closing Price,6.18
Day Change $,-0.04
Day Change %,-0.0064
Day High,6.29
Day Low,6.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.48
Ex-dividend Date,No dividend
Historical Volatility,1.084
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,975.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.22
Shares Outstanding,157.8M
Short Interest,0.1242
Today's Open,6.15
Volume,1378454.0
Volume 10-day Avg,4484564.0
Volume Past Day,(Light)
