,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2017,Q1 2018,Q2 2018,Q4 2018
high,46.61,66.41,112.33,223.26,354.62,318.98,,,,,,,,,
low,37.94,42.11,50.91,70.83,188.67,155.01,,,,,,,,,
change,0.1549,0.2217,0.9191,1.0458,0.4286,-0.4338,,,,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,,,,
Cash & Equivalents,,,,,,,428.0,341.0,324.0,294.0,Balance Sheet,,,,
Short Term Investments,,,,,,,35.0,33.0,43.0,79.0,Balance Sheet,,,,
Cash and Short Term Invs,,,,,,,462.0,373.0,366.0,373.0,Balance Sheet,,,,
"Trade Accts Recvble, Net",,,,,,,300.0,348.0,368.0,410.0,Balance Sheet,,,,
Other Receivables,,,,,,,49.0,63.0,65.0,63.0,Balance Sheet,,,,
"Total Receivables, Net",,,,,,,349.0,412.0,433.0,473.0,Balance Sheet,,,,
"Other Curr. Assets, Total",,,,,,,8.0,8.0,8.0,14.0,Balance Sheet,,,,
Total Current Assets,,,,,,,820.0,793.0,807.0,861.0,Balance Sheet,,,,
Prop./Plant/Equip. - Net,,,,,,,278.0,285.0,293.0,296.0,Balance Sheet,,,,
"Goodwill, Net",,,,,,,573.0,571.0,580.0,585.0,Balance Sheet,,,,
Intangibles - Net,,,,,,,102.0,107.0,104.0,105.0,Balance Sheet,,,,
LT Invt. - Affiliate Comp.,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet,,,,
LT Investments - Other,,,,,,,26.0,27.0,26.0,32.0,Balance Sheet,,,,
Long Term Investments,,,,,,,26.0,28.0,27.0,33.0,Balance Sheet,,,,
Note Rcvble - Long Term,,,,,,,24.0,21.0,19.0,17.0,Balance Sheet,,,,
Other Long Term Assets,,,,,,,9.0,9.0,9.0,10.0,Balance Sheet,,,,
Total Assets,,,,,,,1890.0,1863.0,1878.0,1946.0,Balance Sheet,,,,
Accounts Payable,,,,,,,63.0,52.0,55.0,62.0,Balance Sheet,,,,
Accrued Expenses,,,,,,,184.0,158.0,159.0,181.0,Balance Sheet,,,,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,36.0,39.0,42.0,44.0,Balance Sheet,,,,
Income Taxes Payable,,,,,,,38.0,33.0,22.0,25.0,Balance Sheet,,,,
Other Current Liabilities,,,,,,,64.0,62.0,57.0,59.0,Balance Sheet,,,,
"Other Curr. Lblts, Total",,,,,,,102.0,95.0,80.0,84.0,Balance Sheet,,,,
Total Current Liabilities,,,,,,,386.0,345.0,335.0,371.0,Balance Sheet,,,,
Long Term Debt,,,,,,,2.0,2.0,1.0,1.0,Balance Sheet,,,,
Capital Lease Obligations,,,,,,,109.0,117.0,109.0,99.0,Balance Sheet,,,,
Total Long Term Debt,,,,,,,111.0,119.0,110.0,99.0,Balance Sheet,,,,
Total Debt,,,,,,,147.0,159.0,152.0,143.0,Balance Sheet,,,,
Deferred Income Tax,,,,,,,1.0,1.0,2.0,1.0,Balance Sheet,,,,
Minority Interest,,,,,,,3.0,2.0,2.0,2.0,Balance Sheet,,,,
Reserves,,,,,,,10.0,11.0,13.0,13.0,Balance Sheet,,,,
