,GLOB
% Above Low,0.1489
% Held by Institutions,
52-Wk Range,['155.01 - 324.29']
Annual Dividend $,
Annual Dividend %,
Ask,241.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,177.37
Bid Size,100.0
Closing Price,178.09
Day Change $,-1.6
Day Change %,-0.0089
Day High,179.54
Day Low,175.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.605
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,179.69
Short Interest,
Today's Open,179.07
Volume,54111.0
Volume 10-day Avg,327762.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.36585365853658547
Growth 1yr High Est,0.29591836734693877
Growth 1yr Consensus Est,0.3308860129417621
Growth 2yr Low Est,0.26923635307781657
Growth 2yr High Est,0.25524264824039855
Growth 2yr Consensus Est,0.26223950065910756
Growth 5yr Low Est,0.2947141420696564
Growth 5yr High Est,0.2828296574535326
Growth 5yr Consensus Est,0.2887718997615945
Growth 5yr Actual/Est,0.28705835017317655
Growth 3yr Historic,0.15114071829605202
5yr Low,37.94
5yr High,354.62
5yr Avg Return,0.3893833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.32066130000000004
Dividend Growth 5yr,
FCF Growth 5yr,5.481308991612114
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-06 00:00:00
researchTeam since,2022-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-15 00:00:00
ford since,2022-07-22 00:00:00
marketEdge opinion since,
