,EFX
% Above Low,0.373
% Held by Institutions,0.9504
52-Wk Range,['145.98 - 300.11']
Annual Dividend $,1.56
Annual Dividend %,0.0078000000000000005
Ask,246.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,130.0
Bid Size,100.0
Closing Price,200.43
Day Change $,2.5
Day Change %,0.0126
Day High,200.99
Day Low,197.1
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.384
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,24.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.84
Prev Close,197.93
Short Interest,0.029300000000000003
Today's Open,197.73
Volume,460165.0
Volume 10-day Avg,1424614.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.007947019867549643
Growth 1yr High Est,-0.015604681404421394
Growth 1yr Consensus Est,-0.011775850635985519
Growth 2yr Low Est,-0.030675779626698763
Growth 2yr High Est,0.037111794040193546
Growth 2yr Consensus Est,0.003218007206747392
Growth 5yr Low Est,0.06753866608478926
Growth 5yr High Est,0.10371189277902768
Growth 5yr Consensus Est,0.08562527943190847
Growth 5yr Actual/Est,0.08612955849362267
Growth 3yr Historic,0.08408494462796834
Price/Earnings (TTM),34.84388
Price/Sales (TTM),4.74009
Price/Book (MRQ),6.52637
Price/Cash Flow (TTM),19.27986
5yr Low,88.68
5yr High,300.11
5yr Avg Return,0.15935000000000002
EPS Growth 5yr,0.0832706
Revenue Growth 5yr,0.0938064
Dividend Growth 5yr,0.033975200000000004
Short Int Current Month,3571122.0
Short Int Prev Month,2984247.0
Short Int Pct of Float,0.0293053
Days to Cover,2.82967
Float,121.9321
Shares Outstanding,122.4434
Institutions Holding Shares,874.0
FCF Growth 5yr,-0.8637618734340143
"Price/Earnings (TTM, GAAP)",34.84
"PEG Ratio (TTM, GAAP)",3.65
Gross Profit Margin (TTM),0.5821000000000001
Operating Profit Margin (TTM),0.2187
Net Profit Margin (TTM),0.1379
Annual Dividend Yield,0.0078000000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.174
EPS Growth (TTM),0.0006
Revenue Growth (MRQ),-0.055
Revenue Growth (TTM),0.08109999999999999
Return On Equity (TTM),0.19460000000000002
Return On Assets (TTM),0.0638
Return On Investment (TTM),0.07740000000000001
Revenue Per Employee (TTM),407669.0
Total Debt/Total Capital (MRQ),0.6091
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.16
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-03-29 00:00:00
cfra since,2018-07-30 00:00:00
ford since,2021-02-12 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-28 00:00:00
