,NRIX
% Above Low,0.5771000000000001
% Held by Institutions,0.9125
52-Wk Range,['7.52 - 32.18']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,100.0
Ask close,14.46
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,10.85
Bid Size,200.0
Bid close,9.15
Change Since Close,-0.31| |(-2.61%)
Closing Price,11.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.71
Ex-dividend Date,No dividend
Historical Volatility,0.87
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,11.55
Market Cap,559.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.86
Short Interest,0.11289999999999999
Today's Open,
Volume,19.0
Volume 10-day Avg,375843.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.27604166666666674
Growth 2yr High Est,-0.08038585209003213
Growth 2yr Consensus Est,0.0978279072883173
Growth 5yr Low Est,0.27604166666666674
Growth 5yr High Est,-0.08038585209003213
Growth 5yr Consensus Est,0.0978279072883173
Growth 5yr Actual/Est,0.10630762152501283
Growth 3yr Historic,-0.0036231884057970807
Price/Earnings (TTM),
Price/Sales (TTM),14.25007
Price/Book (MRQ),1.63241
Price/Cash Flow (TTM),
5yr Low,7.52
5yr High,52.38
5yr Avg Return,0.031866666666666675
Short Int Current Month,5143559.0
Short Int Prev Month,5639210.0
Short Int Pct of Float,0.1128729
Days to Cover,12.10688
Float,45.58147
Shares Outstanding,47.14778
Institutions Holding Shares,172.0
FCF Growth 5yr,0.2981305364311554
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-4.4121
Net Profit Margin (TTM),-4.3666
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11140000000000001
EPS Growth (TTM),-0.551
Revenue Growth (MRQ),-0.056100000000000004
Revenue Growth (TTM),0.3511
Return On Equity (TTM),-0.47740000000000005
Return On Assets (TTM),-0.35979999999999995
Return On Investment (TTM),-0.4108
Revenue Per Employee (TTM),162149.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-10-18 00:00:00
theStreet since,2021-10-18 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
