,NRIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),14.25,45.03,Valuation,0.3164556962025316
Price/Book (MRQ),1.63,12.61,Valuation,0.12926249008723234
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-4.4121,-4.7459,Profitability,0.9296656061021091
Net Profit Margin (TTM),-4.3666,-4.5467,Profitability,0.9603888534541535
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.11140000000000001,-0.0014000000000000002,Gowth rates,-79.57142857142857
EPS Growth (TTM),-0.551,0.027200000000000002,Gowth rates,-20.25735294117647
Revenue Growth (MRQ),-0.056100000000000004,1.3963999999999999,Gowth rates,-0.04017473503294186
Revenue Growth (TTM),0.3511,0.9747,Gowth rates,0.36021339899456245
Return On Equity (TTM),-0.47740000000000005,0.1967,Effectiveness,-2.4270462633451957
Return On Assets (TTM),-0.35979999999999995,0.0016,Effectiveness,-224.87499999999997
Return On Investment (TTM),-0.4108,0.0219,Effectiveness,-18.75799086757991
Revenue Per Employee (TTM),162149.0,1476201.0,Effectiveness,0.109842087899954
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
