,XRX
% Above Low,0.3093
% Held by Institutions,0.8144
52-Wk Range,['11.80 - 24.14']
Annual Dividend $,1.0
Annual Dividend %,0.0629
Ask,16.03
Ask Size,1100.0
B/A Ratio,0.7272727272727273
B/A Size,800x1100
Beta,1.7
Bid,15.3
Bid Size,800.0
Closing Price,15.45
Day Change $,-0.46
Day Change %,-0.028900000000000002
Day High,15.83
Day Low,15.35
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",-6.9
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.488
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,15.91
Short Interest,0.057800000000000004
Today's Open,15.76
Volume,839431.0
Volume 10-day Avg,1084758.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.7464788732394366
Growth 1yr High Est,-0.4915254237288136
Growth 1yr Consensus Est,-0.619002148484125
Growth 2yr Low Est,0.710093896713615
Growth 2yr High Est,1.6986817325800379
Growth 2yr Consensus Est,1.2043878146468265
Growth 5yr Low Est,0.5280407398855793
Growth 5yr High Est,1.1822380381702418
Growth 5yr Consensus Est,0.8551393890279105
Growth 5yr Actual/Est,0.18916787608815339
Growth 3yr Historic,-0.13297372889821196
Price/Earnings (TTM),
Price/Sales (TTM),0.35657
Price/Book (MRQ),0.76322
Price/Cash Flow (TTM),
5yr Low,11.8
5yr High,39.47
5yr Avg Return,-0.029066666666666664
EPS Growth 5yr,
Revenue Growth 5yr,-0.0815857
Dividend Growth 5yr,-0.0374065
Short Int Current Month,8394351.0
Short Int Prev Month,9126290.0
Short Int Pct of Float,0.0577783
Days to Cover,5.90359
Float,145.4632
Shares Outstanding,155.6026
Institutions Holding Shares,413.0
FCF Growth 5yr,-0.4986244800950684
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3212
Operating Profit Margin (TTM),-0.16620000000000001
Net Profit Margin (TTM),-0.1616
Annual Dividend Yield,0.0629
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-54.1009
EPS Growth (TTM),-5.6534
Revenue Growth (MRQ),0.0023
Revenue Growth (TTM),-0.0345
Return On Equity (TTM),-0.2685
Return On Assets (TTM),-0.08800000000000001
Return On Investment (TTM),-0.1161
Revenue Per Employee (TTM),297983.0
Total Debt/Total Capital (MRQ),0.5186
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),3.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-07-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-02-22 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
