,XRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),0.36,5.73,Valuation,0.06282722513089005
Price/Book (MRQ),0.76,44.1,Valuation,0.017233560090702947
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.3212,0.4263,Profitability,0.7534600046915317
Operating Profit Margin (TTM),-0.16620000000000001,0.2867,Profitability,-0.5797000348796651
Net Profit Margin (TTM),-0.1616,0.23690000000000003,Profitability,-0.6821443647108484
Annual Dividend Yield,0.0629,0.0074,Dividend,8.5
Dividend Change %,0.0,0.0593,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0618,Dividend,0.0
EPS Growth (MRQ),-54.1009,0.0139,Gowth rates,-3892.151079136691
EPS Growth (TTM),-5.6534,0.0891,Gowth rates,-63.45005611672279
Revenue Growth (MRQ),0.0023,0.0784,Gowth rates,0.029336734693877552
Revenue Growth (TTM),-0.0345,0.0893,Gowth rates,-0.3863381858902576
Return On Equity (TTM),-0.2685,1.7101,Effectiveness,-0.15700836208408867
Return On Assets (TTM),-0.08800000000000001,0.27030000000000004,Effectiveness,-0.3255641879393267
Return On Investment (TTM),-0.1161,0.45,Effectiveness,-0.258
Revenue Per Employee (TTM),297983.0,2289443.0,Effectiveness,0.13015523863227868
Total Debt/Total Capital (MRQ),0.5186,0.7151000000000001,Financial strength,0.7252132568871485
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,-0.0004,Financial strength,-1.7500000000000002
Quick Ratio (MRQ),0.93,0.84,Financial strength,1.1071428571428572
Interest Coverage (MRQ),3.06,317.99,Financial strength,0.009622944117739552
