,TTGT
% Above Low,0.0529
% Held by Institutions,0.9989
52-Wk Range,['42.00 - 103.39']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,100.0
B/A Ratio,31.0
B/A Size,3100x100
Beta,0.9
Bid,44.22
Bid Size,3100.0
Closing Price,44.22
Day Change $,-1.05
Day Change %,-0.0232
Day High,45.15
Day Low,44.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.46
Ex-dividend Date,No dividend
Historical Volatility,0.525
Last (size),24300.0
Last (time),3:59p ET 11/28/22
Market Cap,1.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",99.11
Prev Close,45.27
Short Interest,0.0814
Today's Open,44.75
Volume,300659.0
Volume 10-day Avg,250002.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08181818181818179
Growth 1yr High Est,0.10714285714285698
Growth 1yr Consensus Est,0.09448051948051939
Growth 2yr Low Est,-0.02211611917494266
Growth 2yr High Est,0.069700460829493
Growth 2yr Consensus Est,0.023792170827275166
Growth 5yr Low Est,0.284106495262682
Growth 5yr High Est,0.31046697388632877
Growth 5yr Consensus Est,0.2972867345745054
Growth 5yr Actual/Est,0.47502248183142504
Growth 3yr Historic,0.4637195121951221
Price/Earnings (TTM),99.10896
Price/Sales (TTM),4.40365
Price/Book (MRQ),5.81452
Price/Cash Flow (TTM),33.68116
5yr Low,11.12
5yr High,111.44
5yr Avg Return,0.38946666666666674
EPS Growth 5yr,-0.1634814
Revenue Growth 5yr,0.1982853
Dividend Growth 5yr,
Short Int Current Month,2157816.0
Short Int Prev Month,2457333.0
Short Int Pct of Float,0.0813818
Days to Cover,5.71916
Float,26.54495
Shares Outstanding,29.32352
Institutions Holding Shares,294.0
FCF Growth 5yr,0.17454206018263752
"Price/Earnings (TTM, GAAP)",99.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7392000000000001
Operating Profit Margin (TTM),0.1998
Net Profit Margin (TTM),0.061200000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2071
EPS Growth (TTM),-0.28940000000000005
Revenue Growth (MRQ),-0.018600000000000002
Revenue Growth (TTM),0.2974
Return On Equity (TTM),0.0842
Return On Assets (TTM),0.0286
Return On Investment (TTM),0.0317
Revenue Per Employee (TTM),301449.0
Total Debt/Total Capital (MRQ),0.6644
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),168.62
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-02-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-09-17 00:00:00
cfra since,
marketEdge opinion since,
