,AAWW
% Below High,0.009399999999999999
% Held by Institutions,1.095
52-Wk Range,['58.70 - 101.62']
Annual Dividend $,
Annual Dividend %,
Ask,101.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,100.66
Bid Size,200.0
Closing Price,100.66
Day Change $,-0.26
Day Change %,-0.0026
Day High,100.96
Day Low,100.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.38
Ex-dividend Date,No dividend
Historical Volatility,0.344
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",8.13
Prev Close,100.92
Short Interest,0.1005
Today's Open,100.84
Volume,79955.0
Volume 10-day Avg,381990.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4301994301994302
Growth 2yr High Est,0.08046767537826693
Growth 2yr Consensus Est,-0.17486587741058163
Growth 5yr Low Est,-0.4301994301994302
Growth 5yr High Est,0.08046767537826693
Growth 5yr Consensus Est,-0.17486587741058163
Growth 5yr Actual/Est,0.4097456249134025
Growth 3yr Historic,0.4907096528309051
Price/Earnings (TTM),8.13072
Price/Sales (TTM),0.63382
Price/Book (MRQ),0.97354
Price/Cash Flow (TTM),3.74893
5yr Low,14.97
5yr High,101.62
5yr Avg Return,0.1978833333333333
EPS Growth 5yr,0.569399
Revenue Growth 5yr,0.1698574
Dividend Growth 5yr,
Short Int Current Month,2816555.0
Short Int Prev Month,3176774.0
Short Int Pct of Float,0.1004904
Days to Cover,4.09814
Float,28.03751
Shares Outstanding,28.3642
Institutions Holding Shares,372.0
FCF Growth 5yr,-0.37403361344537817
"Price/Earnings (TTM, GAAP)",8.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5497
Operating Profit Margin (TTM),0.1336
Net Profit Margin (TTM),0.09029999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.32310000000000005
EPS Growth (TTM),-0.2749
Revenue Growth (MRQ),-0.047
Revenue Growth (TTM),0.18530000000000002
Return On Equity (TTM),0.1463
Return On Assets (TTM),0.065
Return On Investment (TTM),0.0821
Revenue Per Employee (TTM),1110621.0
Total Debt/Total Capital (MRQ),0.4026
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.68
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-07-29 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-04-23 00:00:00
