,LMAT
Price/Earnings (TTM),48.26332
Price/Sales (TTM),6.33933
Price/Book (MRQ),3.88736
Price/Cash Flow (TTM),32.53646
5yr Low,18.76
5yr High,64.5
5yr Avg Return,0.08183333333333331
EPS Growth 5yr,0.17883400000000002
Revenue Growth 5yr,0.11613749999999999
Dividend Growth 5yr,0.1941811
Short Int Current Month,547329.0
Short Int Prev Month,806146.0
Short Int Pct of Float,0.0281289
Days to Cover,5.75645
Float,19.37247
Shares Outstanding,22.00088
Institutions Holding Shares,265.0
% Held by Institutions,0.871846
FCF Growth 5yr,0.5576535177275281
