,AKAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.65,53.12,Valuation,0.5581701807228916
Price/Sales (TTM),4.05,19.35,Valuation,0.20930232558139533
Price/Book (MRQ),3.45,19.03,Valuation,0.1812926957435628
"PEG Ratio (TTM, GAAP)",2.47,3.41,Valuation,0.7243401759530792
Gross Profit Margin (TTM),0.624,0.44520000000000004,Profitability,1.4016172506738542
Operating Profit Margin (TTM),0.1961,0.3027,Profitability,0.6478361413941195
Net Profit Margin (TTM),0.1437,0.23600000000000002,Profitability,0.6088983050847457
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.0802,-3.5570999999999997,Gowth rates,0.02254645638300863
EPS Growth (TTM),-0.1427,0.15560000000000002,Gowth rates,-0.9170951156812338
Revenue Growth (MRQ),-0.023700000000000002,0.16460000000000002,Gowth rates,-0.14398541919805588
Revenue Growth (TTM),0.0565,0.2273,Gowth rates,0.24857017157941047
Return On Equity (TTM),0.1151,0.5459,Effectiveness,0.21084447701044143
Return On Assets (TTM),0.0637,0.1131,Effectiveness,0.5632183908045977
Return On Investment (TTM),0.0701,0.189,Effectiveness,0.3708994708994709
Revenue Per Employee (TTM),413130.0,686063.0,Effectiveness,0.6021750189122573
Total Debt/Total Capital (MRQ),0.3505,0.5613,Financial strength,0.6244432567254586
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0048,Financial strength,0.35416666666666674
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),83.16,27.21,Financial strength,3.056229327453142
