,AKAM
Price/Earnings (TTM),29.64814
Price/Sales (TTM),4.04761
Price/Book (MRQ),3.45053
Price/Cash Flow (TTM),13.19748
5yr Low,54.74
5yr High,124.91
5yr Avg Return,0.11245
EPS Growth 5yr,0.16644469999999997
Revenue Growth 5yr,0.080704
Dividend Growth 5yr,
Short Int Current Month,11351409.0
Short Int Prev Month,10584811.0
Short Int Pct of Float,0.0734515
Days to Cover,5.89847
Float,154.5584
Shares Outstanding,157.2423
Institutions Holding Shares,987.0
% Held by Institutions,0.9135599999999999
FCF Growth 5yr,0.8064735762928624
