,AKAM
% Above Low,0.2129
% Held by Institutions,0.9136
52-Wk Range,['76.28 - 123.25']
Annual Dividend $,
Annual Dividend %,
Ask,92.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,92.09
Bid Size,100.0
Closing Price,92.52
Day Change $,0.6
Day Change %,0.006500000000000001
Day High,92.64
Day Low,91.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.298
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.65
Prev Close,91.92
Short Interest,0.0735
Today's Open,91.82
Volume,381456.0
Volume 10-day Avg,1305598.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.07433628318584073
Growth 1yr High Est,-0.07180385288966729
Growth 1yr Consensus Est,-0.07307006803775401
Growth 2yr Low Est,-0.030475980981065742
Growth 2yr High Est,0.022588639592902193
Growth 2yr Consensus Est,-0.0039436706940817745
Growth 5yr Low Est,0.05437387922001402
Growth 5yr High Est,0.08029670221795113
Growth 5yr Consensus Est,0.06733529071898257
Growth 5yr Actual/Est,0.06073435997322185
Growth 3yr Historic,0.06555009429212644
Price/Earnings (TTM),29.64814
Price/Sales (TTM),4.04761
Price/Book (MRQ),3.45053
Price/Cash Flow (TTM),13.19748
5yr Low,54.74
5yr High,124.91
5yr Avg Return,0.11245
EPS Growth 5yr,0.16644469999999997
Revenue Growth 5yr,0.080704
Dividend Growth 5yr,
Short Int Current Month,11351409.0
Short Int Prev Month,10584811.0
Short Int Pct of Float,0.0734515
Days to Cover,5.89847
Float,154.5584
Shares Outstanding,157.2423
Institutions Holding Shares,987.0
FCF Growth 5yr,0.8064735762928624
"Price/Earnings (TTM, GAAP)",29.65
"PEG Ratio (TTM, GAAP)",2.47
Gross Profit Margin (TTM),0.624
Operating Profit Margin (TTM),0.1961
Net Profit Margin (TTM),0.1437
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0802
EPS Growth (TTM),-0.1427
Revenue Growth (MRQ),-0.023700000000000002
Revenue Growth (TTM),0.0565
Return On Equity (TTM),0.1151
Return On Assets (TTM),0.0637
Return On Investment (TTM),0.0701
Revenue Per Employee (TTM),413130.0
Total Debt/Total Capital (MRQ),0.3505
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),83.16
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
cfra since,2022-05-04 00:00:00
ford since,2020-09-04 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-21 00:00:00
